,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,周边配套,权属抵押,交通出行,小区介绍,税费解析,户型介绍,售房详情,房源核验码,查询房管备案记录,适宜人群,别墅类型,装修描述,用水类型,用电类型,燃气价格
35,楼层好 精装修 带车位 华润中吴府 144平,278万,19263,天宁区茶山,华润国际社区中吴府,4室2厅1厨2卫,中楼层 (共34层),144.32㎡,平层,144.32㎡,板楼,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-11-20,商品房,2020-09-23,普通住宅,满两年,共有,无抵押,已上传房本照片,房型方正，明厨明卫采光好，通透敞亮，四房朝南,,,,环境优美，小区内部环境好，绿化高，休闲设施齐全，儿童游乐场所，健身器材。24小时安保服务，管家式服务,首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,户型方正朝南，格局布局好，空间感好，通透性强，居住舒适 2、南北朝向，视野开阔，采光透,,,,,,,,,
36,地铁口 元丰苑  一楼带院子 户型方正。,428万,35831,天宁区茶山,元丰苑,3室2厅1厨1卫,低楼层 (共7层),119.45㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,2023-06-02,商品房,2017-09-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,房子位置好，带花园，一楼，交通方便，生活设施齐全，欢迎带看,医院：常州市中医院、常州市第二人民医院 购物：世纪华联市(麻巷店)、常购连锁市NO.093、物美市(红梅南路)、瑞和泰，元丰菜场 其他：红梅公园、东坡公园、天宁寺,,公交：BRT2、BRT12、BRT21、Y1、220路、903路等地铁一号线已通车，2号线在建中,小区地理位置佳，绿化好，环境整洁，居民素质高，成熟小区生活配套齐全,,,,,,,,,,,
37,麻巷公寓 中间楼层 3房朝南 采光充足。,389万,28646,天宁区茶山,麻巷公寓,3室2厅1厨1卫,中楼层 (共6层),135.8㎡,平层,暂无数据,暂无数据,南,框架结构,简装,暂无数据,无,暂无数据,2023-06-17,商品房,2017-01-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"税费解析：1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",权属抵押：该房产无任何贷款及债务，产权清晰，成交后随时可以办理产权过户手续。,,,,配套：配套设施齐全，中医院，建行，工行，农行，商场，青果巷，购物出行十分方便,,,022411780783,中医院旁 大三房 好楼层 设施齐全,,,,,,
38,御翠园，红梅公园旁别墅纯毛坯，户型方正，采光好。,838万,37461,天宁区茶山,御翠园,4室2厅1厨3卫,低楼层 (共3层),223.7㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2021-11-12,商品房,2020-07-31,别墅,暂无数据,共有,有抵押 200万元 农行 客户偿还,已上传房本照片,位于红梅公旁，纯毛坯别墅，户型方正，采光充足。,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,联排,,,,
39,光华路旁 王家村公寓 低层小洋楼带露台,258万,17441,天宁区茶山,王家村,5室4厅1厨2卫,低楼层 (共3层),147.93㎡,复式,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-06-07,商品房,2005-05-09,普通住宅,暂无数据,共有,无抵押,已上传房本照片,总高三层的小洋楼，三楼顶复，带大露台,朝阳综合市场，大润发卖场，弘阳广场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，弘阳广场。,,,天宁妇幼保健医院旁总高三层小洋楼顶复带大露台楼下净面积约150平是2000年后常州人事局委托造的干部房得房率高户型好东现诚心出售看中价可谈,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,,,,,,,,,,
40,华润六期 毛坯4房  户型方正  随时看房,229万,17601,天宁区茶山,华润国际社区中吴府,4室2厅1厨2卫,低楼层 (共34层),130.11㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,四梯四户,有,暂无数据,2022-03-27,商品房,2020-07-26,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房地段好，地铁好，三开间朝南，配套设置齐全,小区生活设施齐，商场、菜市场、银行等，交通便捷； 小区内有健身器材，小型篮球场，可供小区居民使用； 小区内停车位充足，建有地上停车场和地下车库；,,距离地铁1号线茶山站，步行大概1公里左右。距离6路公交车华润站，步行大概600米左右。,中吴府是华润国际6期，2020年6月交付。物业是华润置业，共有13幢。小区配有地下停车场，小区有儿童乐园、健身器材、跑道、休闲区。,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,,,,,,,,,,
41,璞樾门第 精装大平层 有一个产权车位 看房有钥匙,460万,25955,天宁区茶山,新城光明璞樾门第,4室2厅1厨3卫,低楼层 (共11层),177.23㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-04,商品房,2021-04-01,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,位于朝阳成熟商圈，配套齐全，银行，医院，饭店，小吃，吃喝玩乐都全。,,,,022472424517,璞樾门第 精装大平层 有一个产权车位 看房有钥匙,,,,,,
42,地铁口，红梅公园，24 ，精装修小高层，配套齐,498万,32416,天宁区茶山,国泰新都,3室2厅1厨2卫,中楼层 (共11层),153.63㎡,平层,133.21㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-10,商品房,2012-04-23,普通住宅,暂无数据,共有,无抵押,已上传房本照片,国泰新都 地铁口 红梅公园 精装小高层 24 巨凝金水岸旁,配套齐全，近有购物大厦和南大街、红梅公园、天宁寺，购物、休闲和生活便利 交通出行：小区门口20米就是地铁一号线同安桥站，贯穿常州南北走向，门口设有公交站台有多条公交路线,,,,税费解析： 1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.6%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,,,,,,,,,,
43,红梅公园旁 天顺御和苑毛坯5房,620万,26345,天宁区茶山,天顺御和苑,5室2厅1厨2卫,低楼层 (共15层),235.34㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-03-12,商品房,2010-10-11,普通住宅,满五年,共有,无抵押,已上传房本照片,天顺御和园  前排无遮 业主诚售 得房率高,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可沟通,,,,,,,,
44,方便看房，诚心出售，配套齐全，出行方便,70万,9839,天宁区茶山,清二社区,3室2厅1厨1卫,中楼层 (共5层),71.15㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,无,暂无数据,2023-11-10,商品房,2016-11-08,普通住宅,满五年,共有,无抵押,已上传房本照片,方便看房，诚心出售，配套齐全，出行方便,,,,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,,此房产权清晰，业主诚心出售，看房方便，有多套住宅，卖房变现，有其他方面考虑,,,,,,,,
45,华润国际，楼层好，前排采光全天无遮挡。,190万,16567,天宁区茶山,华润·中央公园,3室2厅1厨1卫,低楼层 (共33层),114.69㎡,平层,89.34㎡,板楼,东,钢混结构,毛坯,四梯三户,有,暂无数据,2023-11-14,商品房,2015-07-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房 户型方正，通透性好， 毛坯三房 户型方正。,华润万象城，一号线，小区生活便利， 华润商场，地铁一号线 ，蔷薇公园，大润发卖场，生活方便，交通便捷。,,,小区环境优美，物业管理好， 小区内有儿童娱乐场，小区停车位充足，电动车充电方便。,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。未满5年成交价的1%,,,,,,,,,,
46,华润中吴府，四房两卫 楼层好采光无遮挡 随时看房,228万,16979,天宁区茶山,华润国际社区中吴府,4室2厅1厨2卫,高楼层 (共24层),134.29㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2022-04-26,商品房,2020-09-21,普通住宅,暂无数据,共有,无抵押,已上传房本照片,中吴府是华润国际6期，2020年交付的。物业是华润置业，共有13幢。小区配有地下停车场，小区有儿童乐园、健身器材、跑道、休闲区。,,,,中吴府这种户型适合刚改客户，四房两卫很适合加油老人再带个孩子的。户型是三开间朝南的双阳台，现在这种户型好。,距离地铁1号线茶山站，步行大概1公里左右。距离6路公交车华润站，步行大概600米左右。,"此房是90平以上的，首套房成交价的1.5% 。二套是成交价的2% 。三套都是3% 
个人所得税：不满5年或不唯一成交价的1%",,022457849495,此房楼层好，采光好，全明户型，户型方正，格局分布合理,,,,,,
47,朗诗毛坯4房2卫 中上楼层全天采光 有钥匙随时看房,288.8万,20623,天宁区茶山,兢业园,4室2厅1厨2卫,高楼层 (共33层),140.04㎡,平层,暂无数据,板塔结合,南 东南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-10-22,商品房,2016-08-05,普通住宅,暂无数据,共有,无抵押,已上传房本照片,朗诗毛坯4房2卫 中上楼层全天采光 有钥匙随时看房,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，吾悦广场。,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,,,,,,,,,,
48,红梅公园旁 御翠园 中楼层 纯毛坯三房 双朝南,400万,26861,天宁区茶山,御翠园,3室2厅1厨2卫,中楼层 (共33层),148.92㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2022-06-07,商品房,2016-06-07,普通住宅,满五年,共有,无抵押,已上传房本照片,红梅公园旁 御翠园 中楼层 纯毛坯三房 双朝南,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.3%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,,业主现在诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，可谈。,,,,,,,,
49,红梅公园旁 桃园新村 顶楼 五房 诚心出售,220万,27877,天宁区茶山,桃园新村,5室2厅1厨2卫,高楼层 (共6层),78.92㎡,跃层,暂无数据,板楼,南 北,砖混结构,简装,暂无数据,无,暂无数据,2022-09-05,商品房,2018-06-04,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房满2年 顶楼带阁楼 红梅24  生活便利，诚心出售,"公园：小区自带一个青山公园 ,2公里内有红梅公园菜场：怡康菜场 ，锦绣菜场，市：2公里内有大润发市 欧尚市。医院：2公里内有青山湾社区医院，武进医院，一院 ，二院",,小区地处市区交通便利：门口有公交站台BRT 24路 31路等 1公里内有火车站 ，汽车站，可以上环城高架,,"税费分析1、契税:首套房，90平方以下的首套跟二套都是1%，90平米以上成交价的1.5%,二套房90平以上成交价的 2%,三套房无论面积大小都是3%; 2、增值税:产证满2年免收增值税，; 3、个税:产证满五年但不是唯一套住房, 成交价的1%",,,,,,,,,,
