,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,交通出行,房源核验码,查询房管备案记录,户型介绍,周边配套,适宜人群,装修描述,权属抵押,别墅类型,售房详情
28,精装可拎包即住，满五唯一.........,102.5万,10396,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,低楼层 (共33层),98.6㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-02-24,商品房,2017-05-05,普通住宅,暂无数据,共有,有抵押 还有二十多万贷款 客户偿还,已上传房本照片,精装可拎包即住，此房是满五唯一.省税采光好,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,
29,绿地二期 满五唯一 前面别墅区 无遮挡 诚心出售,118万,9702,钟楼区新闸,绿地世纪城c区,3室2厅1厨1卫,低楼层 (共33层),121.63㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-11-05,商品房,2017-04-24,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此房满五唯一 边户无这单 户型无浪费   小区配套全,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,小区环境优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松。,,,,,
30,房主 诚心出售的，生活配套便利 看房方便,90万,10801,钟楼区新闸,绿地世纪城A区,3室2厅1厨1卫,高楼层 (共33层),83.33㎡,平层,暂无数据,板塔结合,东南,钢混结构,简装,两梯四户,有,暂无数据,2021-05-26,商品房,2019-06-14,普通住宅,满两年,非共有,有抵押 60万元 邮政,已上传房本照片,格局方正严谨，彰显大家风范；全明气派尊贵户型，室内阳光流..,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,小区配有2000平米的农贸综合市场，1900平米的chao 市及其他连锁便利店，占地8000平米的幼儿园，及约20000平方米的商铺,,,,,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，我是贝壳找房德佑地产绿地世纪城店经纪人，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。
31,绿地世纪城80平2房2厅精装 绿化高 安静高架出行方便,113万,14099,钟楼区新闸,绿地世纪城A区,2室2厅1厨1卫,中楼层 (共33层),80.15㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-06-10,商品房,2016-03-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 建有地上停车场和地下车库 保安：小区内24小时保安巡逻,1契税首套房90平以下 1%，90平以上1.5%二套房90平以下1%，90平以上2%三套房不论面积统一3%,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路,,042487870374,满五唯一 此房满5年，户型好 楼层好，视野好，配套设施完善，..,,,,,,,
32,精装两房 满五唯一 不靠高架，楼层佳，视野好,105万,11607,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,中楼层 (共33层),90.47㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-10-23,商品房,2015-08-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适；,小区边生活设施齐全，菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,,,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,发现生活温度 适合刚需、改善、婚房等需求，便拎包入住 即买即享受  论一位经纪人的自我修养 此房源值得推荐,,,,
33,此房满五唯一，采光好，装修好，拎包入住,74万,9368,钟楼区新闸,绿地世纪城A区,2室2厅1厨1卫,高楼层 (共33层),79㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-18,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满五唯一，采光好，装修好，拎包入住,小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交",,,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐,,,,
34,格局方正严谨，彰显大家风范；三房两卫，飞机户型,185万,14708,钟楼区新闸,绿地世纪城A区,3室2厅1厨2卫,中楼层 (共11层),125.79㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,户型方正.采光充足 交通便利.配套齐全，合适居住,1、小区生活设施齐全，便利店、菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,,,,,,,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候。产权清晰可以随时签约
35,视野宽阔 采光充足 配套实施齐全,163.8万,12586,钟楼区新闸,绿地世纪城A区,3室2厅1厨2卫,低楼层 (共27层),130.15㎡,平层,99.65㎡,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-01-05,商品房,2014-09-15,普通住宅,暂无数据,共有,有抵押 业主自还,已上传房本照片,满五唯一，视野宽阔，采光充足，配套实施齐全，交通便利,,房屋产权：房子为商品房。税费信息：满两年 省增值税。 首套房90M以下1％、90M以上 1.5 二套房90M以下1％、90M以上2 三套房不论面积统一3％,,,,,环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松。,,,,,业主卖房改善换房，随时看房，业主随时可以签约，接受贷款，诚心出售
36,精装两房 绿地 不靠高架 房东诚售,97万,9798,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,低楼层 (共33层),99㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-09-17,商品房,2010-09-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房满五唯一视野好 采光充足 配套设施全 交通便利,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路） 房主自荐(业主对房源的描述),,,,1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场,,,,,
37,绿地世纪城两房 房东诚心出售随时可看,100万,11277,钟楼区新闸,绿地世纪城A区,3室2厅1厨1卫,中楼层 (共33层),88.68㎡,平层,暂无数据,板塔结合,东南 南,钢混结构,简装,两梯三户,有,暂无数据,2021-09-10,商品房,2015-12-17,普通住宅,暂无数据,共有,无抵押,已上传房本照片,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,042469163978,格局方正严谨，彰显大家风范；全明气派尊贵户型，室内阳光流..,,,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，我是贝壳找房德佑地产绿地世纪城店经纪人，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。
38,此房满五唯一，全天采光，中间楼层，看房方便,105万,11798,钟楼区新闸,绿地世纪城A区,3室2厅1厨1卫,中楼层 (共33层),89㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-11-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满五唯一，全天采光，中间楼层，看房方便,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,
39,绿地世纪城C区 不靠高架 精装修 好楼层,128万,12972,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,高楼层 (共33层),98.68㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-03-12,商品房,2017-07-20,普通住宅,暂无数据,共有,有抵押 60万元 工商银行,已上传房本照片,房子楼层很好  精装修  采光漂亮  刚需之选,"1.菜市场、银行、交通便捷； 
2、小区内有健身器材，小型篮球场，可供小区居民使用； 
3、小区内停车位充足，建有地上停车场和地下车库； 
4、小区内24小时保安巡逻。","1.90平以内首套房契税1%，二套房1%，三套或以上3% 
2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 
3、不满两年增值税5.6%，满两年免增值税
 4、满五年唯一免个税1%",,,,"1.户型周正，格局分布合理，空间感好，通透性强，居住舒适； 
2、楼层佳，朝向南北，视野开阔，采光透亮； 
3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 
4、小区地理位置优越，交通便捷",,,,,,
40,绿地世纪非一楼全天采光，业主急售价格可谈！！！,94万,10436,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,低楼层 (共33层),90.08㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-28,商品房,2017-12-29,普通住宅,暂无数据,非共有,有抵押 50万元,已上传房本照片,精装两房，采光好，房东诚心出售,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，美食等，人文素养好，乐于助人，相处和谐,,,,,户型朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明。,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,简约清新的装修，房东维护的很好几乎没有折旧的痕迹，整体很干净也很新,,,
