,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,税费解析,权属抵押,周边配套,交通出行,小区介绍,房源核验码,查询房管备案记录,户型介绍,适宜人群,装修描述,用水类型,用电类型,别墅类型,燃气价格
31,不靠铁路  价格可谈。楼层楼栋。户型好。,149.8万,13405,天宁区红梅,香缇湾花园,3室1厅1厨1卫,中楼层 (共29层),111.75㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯三户,有,暂无数据,2024-02-28,商品房,2023-02-08,普通住宅,未满两年,共有,无抵押,已上传房本照片,楼层好，采光佳，户型方正，看房方便~,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，，看房方便~,"、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,,,,,
32,楼层好，采光好，精装修，房东诚售.,93万,10179,天宁区红梅,金梅花园,2室2厅1厨1卫,中楼层 (共18层),91.37㎡,平层,77.16㎡,板楼,南,钢混结构,精装,一梯四户,有,暂无数据,2024-03-04,商品房,2009-04-22,普通住宅,暂无数据,共有,无抵押,已上传房本照片,新上房源，精装修，交通便利，采光好.,,1，契税：90平方以下首套和二套房税率为1%；90平方以上首套房税率为1.5%，二套房税率为2%。三套以上房屋，税率都为3%。 2，如不满两年增加5.3%的增值税 3，个税：产证满5年.,,小区地理位置 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 建有地上停车场和地下车库 保安：小区内24保安巡逻,,,,,,1，楼层好，配套齐全，有菜场，公园，不临街，靠医院近 2，适合首付不多的人群 3，交通便利，四通八达，出行更加方便，节省时间 6.配套医院近，适合家有老人和孩子的家庭.,,,,,
33,出售翠竹新村中间楼层二室向南户型好,56.8万,9177,天宁区红梅,翠竹新村南区,2室1厅1厨1卫,中楼层 (共5层),61.9㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-03-14,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房为经典小两房，两卧室朝南，以前的老菜场边，地段佳户..,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,此房位置佳，两卧室朝南采光全天无遮挡。改造好的小区，安静交通方便,,,本房为二室一厅，二个朝南的房间，客厅朝北，卫生间也不错，厨房也大。,首付不高，可贷款，最合适读书的家族或者刚踏入社会首付不多的年轻人购买。,以前的老装修，要求不高也可以直接入住，保养的还挺清爽的，家里家具家电都有,,,,
34,红梅新村3楼，新装修拎包入住。,48.8万,9677,天宁区红梅,红梅新村,2室1厅1厨1卫,中楼层 (共7层),50.43㎡,平层,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房地理位置好，楼层好，装修精致。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%","此房产权清晰，无抵押，房源真实，看房方便，过户全程陪同,款清交房",,火车站500米，出行方便，小区门口就是公交车 地铁二号线 红梅 菜场 购物 小区好位置,,,,,,,,,,
35,中装，70年产权，民用水电气，满五唯一,48万,9788,天宁区红梅,新城尚东区花园西区,1室1厅1厨1卫,高楼层 (共28层),49.04㎡,平层,暂无数据,塔楼,南,钢混结构,简装,三梯二十八户,有,暂无数据,2024-03-04,商品房,2024-03-09,普通住宅,未满两年,非共有,有抵押 4万元,已上传房本照片,中装，70年产权，民用水电气，满五唯一,,,此房产权清晰，还有一点贷款房东自己可以偿还，诚心出售，可以立即过户！,新城物业佳，电梯房，火车站，大润发，绿化环境好，地铁步行即达,"到高铁站300米，到地铁二号线站口300米。到长途汽车站300米，到地铁一号线站口900米。共享单车，公共交通1111，B2 ,H2, B23",,,,,适合小夫妻，单身人士自住，购买压力不大，可拎包入住，也可以安排全屋整装，给自己一个舒适的小窝。小区配套设施齐全，交通方便。,,,,,
36,路劲美的竹林壹号 3室2厅 南 北,208万,16981,天宁区红梅,路劲美的竹林壹号,3室2厅1厨2卫,高楼层 (共21层),122.49㎡,平层,暂无数据,板楼,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
37,出售翠竹新村二楼三室一厅三房朝南明厨卫双阳台户型好,73.8万,9723,天宁区红梅,翠竹新村南区,3室1厅1厨1卫,低楼层 (共6层),75.91㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,2024-03-06,商品房,2018-08-31,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房为满五唯一，沿翠竹大道边上，位置很好户型三房间朝南,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,楼下就是翠竹大道，公交到新北万达新北高铁以及去市里去湖墉都有公交车直达,,,,三室一厅一卫，客厅朝北，三个房间朝南，双阳台户型方正，透气采光都很好,所在楼层低，首付少或者一家四口以及上点年龄的都可以接受，位置很好,以前的软包装装修，要求不高也可以拎包入住，一直没出租过，比较清爽,,,,
38,中/央花园 地铁 市民广场 体育馆 高架,238万,18568,新北区红梅,中央花园（新北区） ,3室1厅1厨1卫,高楼层 (共18层),128.18㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-12-30,商品房,2019-02-02,普通住宅,暂无数据,共有,有抵押 业主自还,已上传房本照片,景观房 无遮挡 终日采光 前后三阳台,业主诚意出售，手续齐全，价格公道，看房方便，节省您的时间和精力,存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%， 若90㎡以上将收取2%。 三套房不论面积大小契税均按照3%收,,,,小区地理位置好，绿化好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,,,,
39,新城尚东区70年产权住宅，满五唯一，朝南,39.8万,9955,天宁区红梅,新城尚东区花园西区,1室0厅1厨1卫,中楼层 (共28层),39.98㎡,平层,36㎡,塔楼,南,钢混结构,精装,三梯二十八户,有,暂无数据,2023-12-23,商品房,2018-10-10,普通住宅,满五年,共有,无抵押,已上传房本照片,满五唯一，精装，70年产权，民用水电气，中间楼层，朝南,,,,,"到高铁站300米，到地铁二号线站口300米。到长途汽车站300米，到地铁一号线站口900米。共享单车，公共交通1111，B2 ,H2, B23",,,,精装小面积普通住宅，独立厨房，独立卫生间。一室户的房子，朝南，可自行进行全屋整装设计。,适合单身小年轻婚前独居，小面积房子购买压力不大，可拎包入住，也可以安排全屋整装，给自己一个舒适的小窝。小区配套设施齐全，交通方便。,,,,,
40,⭐⭐⭐（有100平露台！）月租2400！鹏宇装修！保养好,95.8万,21833,新北区红梅,中央花园（新北区） ,1室0厅1厨1卫,低楼层 (共30层),43.88㎡,平层,暂无数据,板塔结合,西北,钢混结构,精装,两梯六户,有,暂无数据,2024-03-18,商品房,2018-05-19,普通住宅,暂无数据,共有,有抵押 50万元,已上传房本照片,（有100平露台！）月租2400！鹏宇装修！保养好！,,存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%， 若90㎡以上将收取2%。 三套房不论面积大小契税均按照3%收,,,,小区地理位置好，绿化好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,12万2年前新装修，鹏宇设计！有100平露台！红星美凯龙装修材料！墙面海吉布！真皮沙发！洗烘一提洗衣机！目前出租2400元/月!,,,,
41,市区 怡康精致三房  学空置  诚心急售,220万,17093,天宁区红梅,怡康机电广场,3室2厅1厨2卫,高楼层 (共28层),128.71㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯八户,有,暂无数据,2024-03-19,商品房,2015-01-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 三套房无论面积大小都是3%；2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,"公园：小区自带一个青山公园 ,2公里内有红梅公园菜场：怡康菜场 ，锦绣菜场，：2公里内有大润发 欧尚。医院：2公里内有青山湾社区医院，武进医院，一院 ，二院",,小区地处市区交通便利：门口有公交站台BRT 24路 31路等 1公里内有火车站 ，汽车站，可以上环城高架,,,022444994275,此房满5年  东首户型 三面采光  精致装修 空置,,,,,,,
42,金百商业广场的朝南精致小户型住宅房，明厨明卫出售,43.7万,9496,天宁区红梅,金百商业广场,1室0厅1厨1卫,低楼层 (共18层),46.02㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,暂无数据,2023-02-24,商品房,2017-06-08,普通住宅,暂无数据,非共有,有抵押 21万元 组合贷 业主自还,已上传房本照片,房子满五唯一 户型好 采光好 地段优越 欢迎随时看房,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，看房方便,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区地处市区交通便利：门口有公交站台BRT 24路 31路等 1公里内有火车站 ，汽车站，可以上环城高架,,,,,,,,,,
43,尚东区花园 70年产权 顶楼 采光充足,43万,9404,天宁区红梅,新城尚东区花园西区,1室1厅1厨1卫,高楼层 (共28层),45.73㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,精装,三梯二十八户,有,暂无数据,2023-10-21,商品房,2021-04-27,普通住宅,满两年,非共有,有抵押 30万元,已上传房本照片,生活方便 交通便利 全天采光 看房提前预约,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可,,,,,,,,,,,,
44,精装3房2卫一梯一户 中.央空调地暖新风人车分流环境美,300万,23899,天宁区红梅,铂雅花园,3室2厅1厨2卫,中楼层 (共16层),125.53㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,暂无数据,2023-05-17,商品房,2023-06-12,普通住宅,未满两年,共有,无抵押,已上传房本照片,有密码随时看房 楼层好 精装修未住大面宽舒适度高,,,,红黄蓝幼儿园 综合商场：欧尚、大润发、红星美凯龙、菜场，红梅街道社区体育健身俱乐部等环伺医院：常州一院、二院、中医院,,铂悦天宁（铂雅花园）是由上市公司旭辉打造的高档楼盘旭辉”铂悦“系。向自然而生，融自然于景，铂悦天宁从空间和时间两个维度，锻造了景观更加丰富，视觉更具美感的居住空间。小区人车分流，环境优美，舒适安静，自带游泳池健身房。,,,,,一梯一户，精装3房两卫，通透明亮，阳光充足，配有耶鲁智能门锁，大金中.央空调，新风系统，博世地暖，3m净水，博世抽油烟机燃气灶，方太水槽洗碗机，杜拉维特台盆智能坐便器，小区绿化环境幽静，人车分流，星空顶地下车库。,,,,
