,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,周边配套,房源核验码,查询房管备案记录,适宜人群,税费解析,权属抵押,交通出行,售房详情,装修描述,别墅类型,用水类型,用电类型
34,此房户型方正，三室两厅一厨两卫 采光充足 配套完善,156万,11906,钟楼区北港,景瑞曦城,3室2厅1厨2卫,低楼层 (共30层),131.03㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2024-01-18,商品房,2015-02-04,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房户型方正，三室两厅一厨两卫 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,养老自住皆可 小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
35,宝龙广场青枫公园梧桐香郡西区......,150万,13505,钟楼区北港,梧桐香郡花园西区,3室2厅1厨2卫,中楼层 (共26层),111.07㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 22万元 中国银行,未上传房本照片,全明格局三房，视野开阔，采光充足，交通便利,,楼层好，采光充足，配套齐全，客厅带阳台，视野开阔，三室两厅两卫,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,,
36,青枫公园 地铁口 拎包入住 诚心出,150万,12293,钟楼区北港,景瑞曦城,3室2厅1厨1卫,中楼层 (共16层),122.03㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2024-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,全明格局户型，视野开阔，采光充足，交通便利,,采光充足，配套齐全，客厅带阳台，视野开阔，三室两厅两卫户型格局好,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,,
37,地铁口 保利公园九里 精装修 3房拎包即住中层全天采光,152万,15214,钟楼区北港,保利公园九里,3室2厅1厨2卫,中楼层 (共27层),99.91㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-28,商品房,2020-11-21,普通住宅,暂无数据,共有,有抵押 60万元,已上传房本照片,青枫公园 客厅宽敞舒适，使用率高 ，户型通透,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,户型 全天采光。房型方正视野好。干湿分离 格局分明，此房是保利收尾完工的 2019年交付。,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,,,,,,,
38,满五唯一客厅宽敞舒适使用率高 卧室温馨 南北通亮,135万,11196,钟楼区北港,凯尔枫尚花园,3室2厅1厨2卫,高楼层 (共21层),120.58㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯三户,有,暂无数据,2024-03-15,商品房,2017-04-20,普通住宅,满五年,共有,有抵押 30万元 银行 业主自还,已上传房本照片,满五唯一客厅宽敞舒适，使用率高 卧室温馨 居住理想南北通亮,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,客厅敞亮带阳台，主卧次卧都朝南。主卧带小阳台。精装。厨房卫生间都带窗,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,,,,,,,
39,青枫公园 地铁口 拎包入住 诚心出,110万,11372,钟楼区北港,景瑞曦城,2室2厅1厨1卫,中楼层 (共16层),96.73㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2024-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,全明格局户型，视野开阔，采光充足，交通便利,,采光充足，配套齐全，客厅带阳台，视野开阔，2房2厅1卫户型格局好,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,,
40,好楼层 景瑞曦城 近地铁 青枫公园 诚心出售 看房方便,68万,10760,钟楼区北港,景瑞曦城,1室1厅1厨1卫,中楼层 (共18层),63.2㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2024-01-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,成熟小区，配套齐全，有地铁，离青枫公园近，宝龙广场也近,小区的物业是开发商旗下的，上海景瑞置业，在青枫公园区域物业是排在前列的，小区绿化面积有32802平，相比于其他小区也算正常，车位配比的话在1:2，车位充足，物业费在0.7元，价格不高,,,,,老人，因为离青枫公园近，每天饭后早晨都可以去公园散散步，跳跳舞，锻炼身体！也适合带小孩上学的家庭，骑车很快就到校园了 ！也适合在常州打拼多年想定居的小夫妻，相比与新北、湖塘的地段，价格不高,1.契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2.税： 满两年免 不满二年 收全额的5.3% 3.个人所得税： 满两年1% 满五免个人所得税,,,,,,,
41,青枫公园 地铁口 精装 拎包入住,105万,11734,钟楼区北港,景瑞曦城,2室2厅1厨1卫,中楼层 (共16层),89.49㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2024-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,全明格局户型，视野开阔，采光充足，交通便利,,采光充足，配套齐全，客厅带阳台，视野开阔，三室两厅两卫户型格局好,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,,
42,景瑞英郡花苑 3室1厅 南,135万,11501,钟楼区北港,景瑞英郡花苑,3室1厅1厨2卫,高楼层 (共32层),117.39㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯四户,有,暂无数据,2024-01-06,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,
43,万水美兰城 东边户 精装修 满五唯一 130万有产权车位,130万,10318,钟楼区北港,万水美兰城,3室2厅1厨2卫,低楼层 (共32层),126㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 123万元 业主自还,未上传房本照片,精装东边户 青枫公园 客厅宽敞舒适大3房,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市 美食等 人文素养好，乐于助人，相处和谐,,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证满5年，但非房主在本市唯一一套住房，故缴税成交价的1%。",,,,,,,
44,青枫公馆精装3房 东边户全天采光远离高架地铁口天街旁,125万,10960,钟楼区北港,青枫公馆青枫花园,3室2厅1厨1卫,中楼层 (共24层),114.06㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2024-03-13,商品房,2010-06-01,普通住宅,满五年,共有,无抵押,已上传房本照片,精装拎包住，楼层好，位置好，前面没有遮挡，视线采光好,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩,,,,,,面积＜ 90平米1%，面积≥90平米1.5%；二套契税：面积＜ 90平米1%，面积≥90平米2%；三套契税：3%。个人所得税卖家满五唯一免征。,,,,客厅宽敞大方，明亮通透，采光效果好，视野宽阔，使用率高，舒适安静,,,
45,青枫公园 万水美兰 3朝南户型 精装修全明格局,115万,12831,钟楼区北港,万水美兰城,3室2厅1厨1卫,高楼层 (共18层),89.63㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-12-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,全明格局三房，视野开阔，采光充足，交通便利,,,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商场,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,,
46,洋房，地暖，中Y空调，精装修70万，拎包入住,298万,20914,钟楼区北港,雅居乐·路劲棠颂,3室2厅1厨2卫,中楼层 (共8层),142.49㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-26,商品房,2021-04-23,普通住宅,满两年,共有,有抵押 180万元 业主自还,已上传房本照片,本小区15栋洋房21栋高层组成绿化环境好新小区带宝宝游乐场氛围好,北边是钟楼区汽车城，东边是中南红喜台西边是玉龙主干道南边是童子河,,小区北边有公交站台西边也有公交站台离高架不*方便上高架的出行便捷,042435713132,"楼层好,采光全天,四开间朝南,户型南北通,诚心出售",,,,,,,,,
47,御源林城西区3-2-1-2 127.76m² 165 万,140万,10959,钟楼区北港,御源林城西区,3室2厅1厨2卫,低楼层 (共11层),127.76㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-12-18,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房户型方正，三室两厅一厨两卫 中高楼层 采光充足,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1",,,,,,,
48,青枫公园 地铁口 宝龙广场旁 精装大3房,140万,10653,钟楼区北港,御源林城,3室2厅1厨2卫,中楼层 (共18层),131.42㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2024-03-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,全明格局三房，视野开阔，采光充足，交通便利,"小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻
适宜人群:",,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商场,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
49,保利公园九里 3室2厅 南,170万,16264,钟楼区北港,保利公园九里,3室2厅1厨2卫,低楼层 (共33层),104.53㎡,平层,81.12㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-04,商品房,2021-03-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,
