,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,周边配套,税费解析,房源核验码,查询房管备案记录,小区介绍,权属抵押,适宜人群,装修描述,户型介绍,交通出行,别墅类型,用水类型,用电类型,燃气价格
35,小区中间楼栋，前后左右都不靠马路，闹中取静。,315万,18976,天宁区青龙,阳光城禹洲·宸悦,4室2厅1厨2卫,中楼层 (共10层),166㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,两梯两户,有,暂无数据,2024-03-12,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 150万元 农行 业主自还,未上传房本照片,紫荆公园和横塘河双公园围绕，书香气息浓,1，刚拿房，有房贷，可带押过户。户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度比较好,,契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房是成交价的2％；三套房是成交价的3％,,,小区以小高层和洋房为主，低密社区，环境优美，居住环境舒适，小区内配备儿童游乐场，健身设施，环形跑道~~,,,,,,,,,
36,小区环境优美，装修保养好，采光很好，房东诚心出售！,360万,25086,天宁区青龙,琅越龙洲花苑,4室1厅1厨2卫,高楼层 (共17层),143.51㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-16,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区环境优美，装修保养好，采光很好，房东诚心出售！,,配套完善，生活设施齐银行购物方便菜场商场饮食近在咫尺生活起居很方便！,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,大和房产开发商精装交付，空调，地暖，新风系统三件套，厨具卫具一应俱全！,,,,,,
37,单价9千7买天宁吾悦旁电梯3房2卫  楼层好全天采光,112万,9707,天宁区青龙,豪郡花园,3室2厅1厨2卫,中楼层 (共34层),115.39㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2024-03-14,商品房,2019-10-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,单价9千7买天宁吾悦旁电梯房 毛坯3房2卫 楼层好全天采光 有钥匙,,吾悦广场，金新御园综合市场，永辉大卖场，医院，银行交通银行，中国工商银行，邮政储蓄。,,,,常州本土开发商 上市公司常发集团打造，次新小区 小区游玩设施多 物业管理优秀 近吾悦广场， 交通便利 配套齐全,,,,,小区步行800米到达地铁二号线紫云居站， 步行200米公交站30路 步行800米63路公交车站.,,,,
38,中海云樾里 4室2厅 南,375万,20834,天宁区青龙,中海云樾里,4室2厅1厨2卫,高楼层 (共17层),180㎡,平层,暂无数据,板楼,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-02-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
39,豪郡花园，精装三房，中间楼层，地铁2号线,95万,11053,天宁区青龙,豪郡花园,3室2厅1厨1卫,中楼层 (共34层),85.95㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,天宁吾悦旁精装小三房，地铁2号线，次新小区,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
40,天宁吾悦旁中海云樾里 b税 业主诚售 看房方便,180万,14568,天宁区青龙,中海云樾里,3室2厅1厨2卫,低楼层 (共17层),123.56㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-23,商品房,2022-08-05,普通住宅,未满两年,共有,无抵押,已上传房本照片,精装大三房未入住，中间楼层，全天采光无遮挡，诚心出售,产权清晰。     房东诚心出售，看房方便，按照正常首付就可以,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，九龙夜市，地铁口,此房不满2年，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,,,,,,,,
41,海华花园毛坯两房采光全天无遮挡,85万,9371,天宁区青龙,海华花园,2室2厅1厨1卫,低楼层 (共26层),90.71㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层佳，朝向南北，视野开阔，采光充沛,,,"：
契税：首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%",,,"：
小区生活实施齐全，商场，菜市场，银行等。 2：小区停车位充足，建有地面临时停车位以及底下停车位",,,,： 户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度比较好,,,,,
42,翰学旁景瑞天玺122平从未入住好楼层看房方便,250万,20492,天宁区青龙,景瑞天玺,3室2厅1厨2卫,中楼层 (共24层),122㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-02-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,精装未入住，地暖+新风，看房有钥匙,业主诚心出售，产权清晰，看房提前联系，房东人很好，提前联系随时可以看房。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,小区环境优美，密度低，半人车分流，孩子老人出行安全。自带物业，管理好。,,,,,,,,,
43,水晶城 五室零厅一厨两卫 楼层好 采光充足,120万,9449,天宁区青龙,水晶城,5室0厅1厨2卫,高楼层 (共26层),127㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2024-03-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"天宁吾悦旁五房，出门地铁口，舒适安静,楼层好",,小区门口有大型购物综合体，银行，菜市场，小区配有专属幼儿园，出小区1公里能到吾悦商圈,,,,小区环境优美，绿化面积大，干净整洁，内有健身器材跟娱乐设施 。小区内车位充足人文素养高，乐于助人相处和谐，物业快捷方便，本小区属于封闭式，安保24小时巡逻。,,,,,小区门口有30路直到市里，地铁2号，出小区就能上环城高架直通高速，出行方便,,,,
44,香溢紫郡109平米3房 精装修 中间楼层 采光好 诚售,140万,12845,天宁区青龙,香溢紫郡,3室2厅1厨1卫,中楼层 (共34层),109㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-22,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,精装修 可拎包入住，近天宁吾悦，生活方便,,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,,,格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度比较好,,,,,,,,,
45,阳光龙庭 2室2厅 南,120万,13954,天宁区青龙,阳光龙庭,2室2厅1厨1卫,中楼层 (共33层),86㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,其他,两梯四户,有,暂无数据,2024-03-05,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,,
46,此房诚心出，精装，好楼层，视野开阔，采光好,160万,18322,天宁区青龙,龙湖香醍漫步南区,3室2厅1厨1卫,低楼层 (共32层),87.33㎡,暂无数据,67.39㎡,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,2024-02-21,商品房,2014-04-23,普通住宅,暂无数据,共有,无抵押,已上传房本照片,环境优美小区安静优雅绿化较好带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3生活便利:小区内有，合理分布便利，生活用品及买菜+分便利，生活轻松。,,,小区生活设施齐全、菜市场、银行、交通便捷2、小区内有健身器材，小型篮球场，可供小区居民使用:3、小区内停车位充足，建有地上停车场和地下车库;4、小区内24小时保安巡逻。,022408803826,此房诚心出，精装，好楼层，视野开阔，采光好,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,,,,,,,,,
47,天宁吾悦旁毛坯，地铁2号线，次新小区,78万,10134,天宁区青龙,豪郡花园,2室1厅1厨1卫,高楼层 (共34层),76.97㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,暂无数据,2023-08-07,商品房,2016-09-26,普通住宅,暂无数据,共有,有抵押 34万元 招商银行 客户偿还,已上传房本照片,天宁吾悦旁毛坯，地铁2号线，次新小区,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
48,金新御园青山湾板块到市区方便闹中取静,1408万,34938,天宁区青龙,金新御园,5室3厅1厨4卫,低楼层 (共3层),403㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2022-02-15,商品房,2020-04-15,别墅,满两年,共有,无抵押,已上传房本照片,金新御园别墅采光没影响，地铁口吾悦旁配套齐全,,综合市场，，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.吾悦广场。,房满五，契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,小区地理位置好，绿化程度高。环境整洁，居民素质高。适宜居住。 有健身器材,,,,,,暂无数据,,,
49,（必看！）（多45平，多40平花园）景秀世家5室2厅2卫,168万,14930,天宁区青龙,景秀世家,5室1厅1厨2卫,高楼层 (共16层),112.53㎡,复式,暂无数据,板塔结合,南 北,钢混结构,精装,一梯六户,有,暂无数据,2023-10-22,商品房,2010-04-06,普通住宅,暂无数据,共有,无抵押,已上传房本照片,景秀世家5房2厅2卫，看房随时，视野开阔，此房源户型方正,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可商量,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,
2、增值税：产证满2年免收增值税，未满2年征收5.6％；
3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
50,龙湖香缇漫步 物业好全朝南户型 整齐大方无浪费精装修,380万,19670,天宁区青龙,龙湖香醍漫步南区,4室2厅1厨3卫,低楼层 (共33层),193.19㎡,平层,150.46㎡,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2022-05-12,商品房,2014-04-16,普通住宅,暂无数据,共有,无抵押,已上传房本照片,龙湖香缇漫步 物业好 全朝南户型 整齐大方无浪费 精装修,,,,,,,,房子四居室，一家人住住问题不大，户型结构整齐方正，三代人绝胜任,装修干净清爽，业主以前一直自己住的，保养的还算不错，拿到手直接拎包即住。,龙湖的户型不必多说，整齐通透，无浪费，现在二套政策也在改变，这套房很是适合,,,,,
