,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验码,查询房管备案记录,核心卖点,小区介绍,税费解析,交通出行,户型介绍,周边配套,售房详情,权属抵押,适宜人群,装修描述,别墅类型,用水类型,用电类型,燃气价格
32,楼层好，采光佳，户型方正，看房方便~,178万,45018,天宁区南大街,勤俭村,2室1厅1厨1卫,低楼层 (共1层),39.54㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-03-31,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,楼层好，采光佳，户型方正，看房方便~,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子...........,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
33,顶复高阁外楼梯 使用面积大 房子保养好  欢迎咨询,85万,11648,钟楼区南大街,清潭六村东区,4室2厅1厨2卫,高楼层 (共6层),72.98㎡,暂无数据,暂无数据,暂无数据,东南,未知结构,简装,暂无数据,暂无数据,暂无数据,2021-07-24,商品房,2007-04-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,此房满五诚心出售，买一得二，采光佳 ，户型正，诚心出售,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 ， 美食等 人文素养好，相处和谐,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",清潭路上12路，24路，56路多路公交车，1公里内配有公共自行车，方便快捷,,小区为成熟社区，1公里处有大润发，清中，清小，银行，菜场，配套齐全,,,,,,,,
34,云庭公寓  觅渡桥 田家炳 朝南三开间 楼层好,208万,23878,钟楼区南大街,云庭公寓,2室2厅1厨1卫,中楼层 (共32层),87.11㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,三梯十户,有,暂无数据,2023-11-18,商品房,2005-10-11,普通住宅,满五年,共有,无抵押,已上传房本照片,,,觅渡桥 田家炳 朝南两房 南大街商圈 青果巷文化街区,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区位于公园路18号，出门便是南大街商圈，是莱蒙商圈和西瀛里商圈，市区主地段，交通四通八达，可以到达常州市区的各个角落；配套齐全成熟,,此房产权清晰，无抵押无贷款 房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
35,西新桥文锦园北郊盘，毛坯，3房2卫，楼层好。,360万,31577,钟楼区南大街,晋陵文锦,3室2厅1厨1卫,中楼层 (共34层),114.01㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,四梯六户,有,暂无数据,2022-11-19,商品房,2021-06-28,普通住宅,满两年,共有,无抵押,已上传房本照片,,,晋陵文锦 北郊新楼盘 配套齐全 楼层好 视野开阔，毛坯,北郊商品房共5幢，毛坯，户型经典，利用率高 楼层，采光好，适合老人孩子居住,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",近北郊，位置好，近BRT，公交车站，离市里规划5号地铁站近，出行方便,,,,"此房产权清晰，无抵押，房源真实，看房方便，过户全程陪同,款清交房",,,,,,
36,地段好  好地段 怀德桥畔 独栋别墅  自带2个车位,1800万,31780,钟楼区南大街,香江华廷花园,6室2厅1厨3卫,低楼层 (共2层),566.41㎡,,542.68㎡,,南,未知结构,毛坯,,,暂无数据,2021-11-19,商品房,2012-10-17,别墅,暂无数据,共有,有抵押 1000万元 经营贷 客户偿还,已上传房本照片,,,市区独栋别墅 带2个车位 院子大 大润发旁 交通便利,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 市 美食等 。 交通出行： 交通便捷，有公交车，BRT可以直达吾悦广场，莱蒙都会等地方，共享单车小区外也有，平时买菜到旁边大润发，交通方便。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,三套房：成交价的3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,交通便捷，有公交车，BRT可以直达吾悦广场，莱蒙都会等地方，共享单车小区外也有，平时买菜到旁边大润发，交通方便,,,,,暂无数据,,,
37,怀德吾悦二中金色新城西区空置精装三房诚意出售,215万,16616,钟楼区南大街,金色新城西区,3室2厅1厨1卫,低楼层 (共32层),129.4㎡,平层,105.9㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-08,商品房,2008-06-25,普通住宅,满五年,共有,有抵押 40万元 农业银行 业主自还,已上传房本照片,,,此房满五唯一，南北格局，楼层好，视野开阔，采光充足，,小区环境优舒适安静适宜居住，出门即有公交菜场，银行，大型卖场，美食等生活配套。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,此房2008年6月建造交付，配套成熟，二房朝南，一房朝西，西/北各有窗户，采光充足，明厨明卫。,,,,,,,,,
38,东横街中上层三房采光佳视野开阔常州市少年宫东,128万,16624,钟楼区南大街,东横街小区,3室1厅1厨1卫,高楼层 (共6层),77㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,无,暂无数据,2022-05-08,商品房,2020-04-01,普通住宅,暂无数据,共有,有抵押 95万元 江苏 业主自还,已上传房本照片,,,此房满两年，三房户型方正，采光视野佳，少年宫东边.,,,"东横街有公共自行车出租点，多路公交通达。
地铁2号线南大街站和地铁1号线博爱路站距离1KM","户型为三居一卫，户型方正采光敞亮，楼层中上，视野佳。
两房朝南一房居北，格局不错。",,"售房原因：业主不需要自住，所以出售置换。
房子产权清晰无任何纠纷，看房方便有钥匙。",,,,,,,
39,晋陵文锦，两房毛坯，中间楼层，有钥匙随时看房,229万,26109,钟楼区南大街,晋陵文锦,2室2厅1厨1卫,低楼层 (共34层),87.71㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-09,商品房,2021-08-13,普通住宅,满两年,非共有,无抵押,已上传房本照片,042484394496,北郊旁 视野开阔，采光充足，次新小区环境好,客厅带阳台，朝南户型，毛坯2房，经典户型，适合一家三口居住。,,,,近北郊，位置好，近BRT，公交车站，离市里地铁站近，出行方便，到北郊50米，到西新桥实验小150米。到大地幼儿园100米。到省常中1000米。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,
40,怀德桥下普济街小区精装三室，拎包即住，交通便捷,116万,9050,钟楼区南大街,普济街小区,3室2厅1厨1卫,高楼层 (共5层),128.18㎡,复式,暂无数据,暂无数据,南,未知结构,精装,暂无数据,无,暂无数据,2021-03-19,商品房,2001-11-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,,,此房满五不唯一，得房率高，顶楼带阁楼，精装三室，适合三代居住,,,,,百米内有BRT2号线BRT1号线，目前在建的地铁2号线，B23、B21、B16、Y1等，基本四通八达的位置。。。。,,,适合三代同堂的家庭，有成熟生活设施，交通方便。。。。。。。。。。。。,,,,,
41,西园路全新精装三房一厅地暖中洋空调,220万,32895,天宁区南大街,西园路,3室1厅1厨1卫,高楼层 (共6层),66.88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2022-04-09,商品房,2018-07-03,普通住宅,暂无数据,共有,有抵押 30万元 公积金,已上传房本照片,,,二南一北三个卧室，边户，明厨明卫，地暖中洋空调。,,,到地铁一号线站口50米，到地铁二号线站口300米，上龙城高架800米。,,,,,,全新精装，三房一厅，明厨明卫，定制家具，品牌家电。中洋空调，地暖。高档铝合金隔音门窗。,,,,
42,丽景花园旁聚和家园 明厨明卫 清爽二房 采光足 有钥匙,243万,28802,天宁区南大街,聚和家园,2室2厅1厨1卫,低楼层 (共6层),84.37㎡,平层,暂无数据,板楼,南,砖混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-03,商品房,2004-05-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,022497758124,丽景花园旁 聚和家园 明厨明卫 巨小实验 精准清爽2房,上学步行 菜场：中山门菜场、怡康小河沿菜场均步行就能到 公园：往东一公里即到红梅公园天宁寺 往南一公里多点即到人民公园 医院：半径一公里范围内有一院、二院、武进医院、中医院和一0二医院 地铁口,,此房产权清晰，房源真实，无贷款，无抵押，无查封。业主诚心出售，看房方便，过户全程陪同,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,
43,金色新城 顶复 大四房 两阳台加阳光房和露台,210万,13778,钟楼区南大街,金色新城东区,4室2厅1厨2卫,高楼层 (共6层),152.42㎡,复式,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,有,暂无数据,2022-07-30,商品房,2016-12-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,,,此房满五唯一 顶楼复式  户型方正  南北通透  采光无遮挡,小区2002年建成 共40栋 1688户 新城物业  交通便利,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%。,,上下两层  一层两个房间朝南   二层一个房间朝南一个房间朝北  南边房间带阳台  还有一个15平方的阳光房  北侧有一个露台,,,,,,,,,
44,河景房 房东急售 价格好谈 带顶楼开阔露台,122万,16423,钟楼区南大街,西上园小区,4室2厅1厨2卫,高楼层 (共6层),74.29㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-01-31,商品房,2010-11-25,普通住宅,满五年,共有,无抵押,已上传房本照片,,,采光好，配套其全，视野宽阔，交通便利,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",中国邮政、邮政支局、邮政支局银行：工商银行路分理处、中国银行分理处、建设银行分理处、交通银行支行、其他：加油站,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,,,,,,
45,凯悦花园，楼层好 视野宽阔 采光充足 精装修配套齐全,318万,25345,钟楼区南大街,凯悦中心花园,3室2厅1厨1卫,高楼层 (共32层),125.47㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-10-30,商品房,2021-09-23,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,凯悦花园，楼层好 视野宽阔 采光充足 精装修配套齐全,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,此房产权清晰，房东诚心卖，随时多可以看房子。看房签约全程陪同,,,,,,
46,鹏欣丽都高层二室二厅前排无遮挡采光佳诚意出售,260万,26738,钟楼区南大街,鹏欣丽都,2室2厅1厨1卫,高楼层 (共32层),97.24㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-09-25,商品房,2004-10-20,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,,,满五，不唯一，二室二厅，诚意出售，没小孩读书,,,到地铁二号线站口150米，到吾悦国际100米，到火车站500米，到泰富百货150米。,,到人民公园150米，到兰园150米，到青果巷150米，到文化宫500米。,,,,,,,,
