,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,适宜人群,售房详情,装修描述,户型介绍,别墅类型,权属抵押
34,此房精装 自己装修 ，视野开阔，采光充足,95万,9959,新北区璜土,碧桂园百兴澜庭,2室2厅1厨1卫,高楼层 (共21层),95.4㎡,平层,暂无数据,塔楼,南,砖混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-23,商品房,2020-11-24,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此房精装 自己装修 ，视野开阔，采光充足,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,,户型方正，三室两厅，双阳台，2梯4户，边上别墅，没有遮挡，随时可以看房,,
35,此房一梯两户，得房率高，视野宽阔，采光充足,88万,9119,新北区璜土,金美林花园,3室2厅1厨1卫,中楼层 (共11层),96.51㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-29,商品房,2021-03-22,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房一梯两户，得房率高，视野宽阔，采光充足，地段好,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
36,龙城小区 家装两房  好楼层 采光刺眼 随时看房,78万,9398,新北区璜土,龙城福第,2室1厅1厨1卫,高楼层 (共33层),83㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-11-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型好，三朝南，精装修，采光充足，交通便利,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，看房方便,,,,
37,新小区绿化好 三朝南纯毛坯 楼层好全天采光,108万,9320,新北区璜土,文鑫苑,3室2厅1厨2卫,中楼层 (共34层),115.88㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-02-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,新小区绿化好，三朝南纯毛坯，楼层好全天采光,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，看房方便,,,,
38,房东诚售 有钥匙 随时看房 优质好房,95万,9503,新北区璜土,金美林花园,3室1厅1厨1卫,高楼层 (共10层),99.97㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-06-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满两年，优质房 比高，房好业主人更好，诚心出售,，契税：90平方以下首套和二套房税率为1%；90平方以上首套房税率为1.5%，二套房税率为2%。三套以上房屋，税率都为3%。 2，税：产证满2年免征。 3，个税：产证满5年，且房东名下只有这套房可以免征。其他情况征收全额的1%,小区配套齐全，距离北站一公里车程，距离环球港1000米，距离恐龙园一里路车程,,有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库,,,,,,
39,九洲花园旁，出行便利、、、、、、、,112万,10000,新北区璜土,金美林花园,3室2厅1厨1卫,低楼层 (共11层),112㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2020-12-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,南北通透格局、楼层好、视野宽阔、采光充足、、、、、、、，..,,近恐龙园 *市 公交站 交通便利出行方便。。。。。。。。。。。,,配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库,来常就业和江阴工作的刚需客户不需要常州上学的可以买价格低、、、、、、,国家一级资质房屋评估专业法律团队风险防范房屋交易资金银行第三方安全保证主动接受政府部门监督阳光操做,,,,
40,恐龙园，碧桂园华星世纪学府，文鑫苑毛坯三房,95万,8261,新北区璜土,文鑫苑,3室2厅1厨2卫,低楼层 (共30层),115㎡,平层,暂无数据,塔楼,南,框架结构,毛坯,暂无数据,暂无数据,暂无数据,2021-12-16,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房是毛坯三房。3室2厅1厨2卫.户型好，采光没有问题,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,碧桂园华星·世纪学府小区，环境优美，绿化充足；：自驾：通过小湖路、常澄路、青阳路、芙蓉大道可快递前往常州及江阴市区，楼下自带大型商店,,此小区为新小区，小区环境好，入住率百分之80，24小时安保，绿化比例2.2，适宜居住。,,,,此房是三开间朝南。采光很好，3室2厅1厨2卫.恬静舒适，亲近自然,,
41,金美林花园，精装三房两厅两卫，业主诚意出售,108万,9558,新北区璜土,金美林花园,3室2厅1厨2卫,低楼层 (共11层),113㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-12-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,交通便利，配套齐全，房东诚心出售,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",小区生活配套全 环境好 距离环球港2000米 距离恐龙园1500米,,,楼层低，适合老弱小孕居住，有电梯，配套齐全，公园，菜场近在眼前,,,,,
42,金美林中间楼层，边户，双阳台，精装修，拎包住,120万,9524,新北区璜土,金美林花园,3室2厅1厨2卫,中楼层 (共11层),126㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2021-12-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区生活配套全 环境好 距离环球港2000米 距离恐龙园1500米,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",距离恐龙园，环球港约3公里，公交站 交通便利 出行方便 交通便利，菜市场就近,,有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库,,,,,,
43,龙城福第精装两房，好楼层，好户型，房东诚意出售,96万,10000,新北区璜土,龙城福第,2室2厅1厨1卫,中楼层 (共27层),96㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-02-14,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房，视野开阔，交通便利，配套齐全,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,小区生活配套全 环境好 距离环球港2000米 距离恐龙园1500米，距离璜石湖公园1500米左右，坐拥双城生活圈，,,,,,,此房精装两房，户型好，空间利用的好，视野开阔，优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴,,
44,龙城福第三房，精装修自住，满2年，诚意出售,79万,7124,新北区璜土,龙城福第,3室2厅1厨1卫,低楼层 (共18层),110.9㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-08-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满2年，小区大门对门是五洲国际，精装修满2，税费低，首付低,,,,小区虽然属于江阴产权，但和龙虎塘隔墙相望，生活配套，出行，购物，娱乐等民生基础都是和常州龙虎塘共享资源。小区有高层，洋房，别墅等。环境优美，值得拥有,此房适合刚来常州创业居住的群体，首付低，满2年税费便宜，三房适合家里较多成员居住，出门就是五洲国际购物商场，电影院，挨着常州龙虎塘公交枢纽，BRT，常州北站骑车1000米路程。小区东门是江阴璜土镇最繁华的小湖市场。,,房东自住精装修，省却了个人装修带来的麻烦和周折。，材料环保，品牌家电家具，空间明快，风格朴素典雅。适合注重气味环保，家有宝宝，拎包入住的客户,,,
45,恐龙园商圈 金美林朝南，精装急售,100万,8850,新北区璜土,金美林花园,3室2厅1厨2卫,低楼层 (共11层),113㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2022-02-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,"存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购
房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。",,,,"对于正常架构家庭来讲，这个小区的优点就是绿化有水系建设，管理较
好，安全，上台阶处都有扶杆，设计比较人性化，而且小区封闭，人车分流","亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主
家庭和睦，等待有缘人接盘，我是贝壳找房德佑地产凤凰名城店经纪人，房屋买卖交易问
题可以随时致电垂询。竭诚为您服务。",,,,
46,百兴澜庭 三房二卫 113平方 精装修,115万,10177,新北区璜土,碧桂园百兴澜庭,3室2厅1厨2卫,高楼层 (共33层),113㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-04-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,碧桂园百兴澜庭，三室两厅两卫，户型方正，中间好楼层，随看,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,,户型方正，三室两厅两卫，双阳台，一梯两户，边上别墅，没有遮挡，随时可以看房,,
47,南北通格局，楼层好，视野宽阔，采光充足,106.8万,9475,新北区璜土,金美林花园,3室2厅1厨1卫,高楼层 (共14层),112.72㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2021-12-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,南北通格局，楼层好，视野宽阔，采光充足,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,业主自住，看房方便，置换新房，诚心出售，价格可谈，随时可签。,房子毛坯，一房朝南，一房朝北，客厅带阳台，明厨明卫，通透性好,,,
