,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,周边配套,售房详情,权属抵押,交通出行,户型介绍,房源核验码,查询房管备案记录,装修描述,适宜人群,别墅类型
31,"本小区实在房源，带学V,环境优美，居住舒适性高",290万,22264,天宁区雕庄,金科中梁衡麓世家,4室2厅1厨2卫,低楼层 (共18层),130.26㎡,平层,100.84㎡,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-06-13,商品房,2021-09-26,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,本小区实在房源，带学V环境优美，楼间开阔，居住舒适性高,小区封闭式的，24小时有物业巡逻，很安全。小区里面有一处的儿童游乐场所，还有个健身区,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
32,小高层，一梯一户，没有连廊，钥匙房随时看,179万,14207,天宁区雕庄,中海凤凰熙岸,3室1厅1厨2卫,低楼层 (共18层),126㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯两户,有,暂无数据,2022-07-18,商品房,2017-07-17,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此房小高层满五唯一，毛坯三房两卫，户型方正，有钥匙,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,,交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发,,,"小区南门100米有永安行共享单车；
小区东边1公里就是高架入口；
小区南门100米有公交站台。",,,,,,
33,泰和之春精装大四房 楼层好 视野佳 局小分校旁,322万,22007,天宁区雕庄,泰和之春,4室2厅1厨2卫,高楼层 (共33层),146.32㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯九户,有,暂无数据,2022-04-09,商品房,2020-04-26,普通住宅,暂无数据,共有,无抵押,已上传房本照片,生活交通配套便利，户型方正，全明格局，楼层好视,采光好，环境优美，楼间开阔，居住舒适性高楼间开阔，居小区环境优美，治安放心，出行方便，自带活动场所，娱乐与健身一体，绿植保养好采光好，环境优住舒适性高,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,天宁板块内中吴大道旁 购物就在家门口 局小分校区，正衡 配套齐全，上学就在家门口，资源充足,,,,,,,,,
34,璞樾和山毛坯四室楼层好视野佳房东诚心出售,305万,21542,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,高楼层 (共18层),141.59㎡,跃层,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-04-15,商品房,2014-08-07,普通住宅,暂无数据,非共有,有抵押 70万元,已上传房本照片,全明格局，生活交通配套便利，户型方正，视野好,1.小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,契税：1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,天宁吾悦广场，凤凰公园，朝阳综合市场，大润发商场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
35,一梯一户 四房两卫 采光无遮挡 户型方正 预约看房,315万,22371,天宁区雕庄,中海铂悦公馆,4室2厅1厨2卫,低楼层 (共17层),140.81㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2022-03-04,商品房,2020-08-07,普通住宅,满两年,非共有,有抵押 150万元 客户偿还,已上传房本照片,南北通风格局、 一梯一户、可用面积增多。,小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,此房不满二，满二个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,厨房采用的方太油烟机和煤气灶、摩恩自来水池、博士的热水器和地暖整体的锅炉 2个卫生间的面盆和马桶都是科勒的。,,
36,泰和之春 开发商精装修 4房 中间楼层 采光充足,360万,20348,天宁区雕庄,泰和之春,4室2厅1厨2卫,中楼层 (共32层),176.93㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-03-07,商品房,2021-03-16,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房开发商精装修 4房  ，中间楼层 采光充足。,采光好，环境优美，楼间开阔，居住舒适性高楼间开阔，居小区环境优美，治安放心，出行方便，自带活动场所，娱乐与健身一体，绿植保养好采光好，环境优住舒适性高,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,天宁吾悦广场，凤凰公园，朝阳综合市场，大润发商场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
37,泰和之春 三房楼层采光好 密码随时可以看房,192万,19245,天宁区雕庄,泰和之春,3室2厅1厨1卫,低楼层 (共33层),99.77㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-03-21,商品房,2021-02-05,普通住宅,暂无数据,共有,无抵押,已上传房本照片,生活交通配套便利，户型方正，全明格局，楼层好视,采光好，环境优美，楼间开阔，居住舒适性高楼间开阔，居小区环境优美，治安放心，出行方便，自带活动场所，娱乐与健身一体，绿植保养好采光好，环境优住舒适性高,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,天宁板块内中吴大道旁 购物就在家门口 局小分校区，正衡 配套齐全，上学就在家门口，资源充足,,,,,,,,,
38,凤凰熙岸107平 三房两厅两卫精装拎包入住 楼层视野好,152万,14178,天宁区雕庄,中海凤凰熙岸,3室2厅1厨2卫,高楼层 (共34层),107.21㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-16,商品房,2016-05-10,普通住宅,满五年,共有,有抵押,已上传房本照片,格局好，户型方正 楼间距大 视野采光好,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发 房主自荐(业主对房源的描述),,,,,,,,,
39,户型格局好，楼层比较中间楼层，采光好，,310万,18774,天宁区雕庄,中海铂悦公馆,4室2厅1厨3卫,中楼层 (共17层),165.13㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-08-06,商品房,2021-07-15,普通住宅,满两年,共有,有抵押 180万元,已上传房本照片,户型格局好，楼层比较中间楼层，采光好，小区配套设施齐全。。。,小区有洋房，小高层，高层，楼间距大，采光好，绿化好，设有儿童游乐区，喷泉景观。分南大门和西大门，都可进出车辆,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便，可全程陪同看房,,南边就是中吴大道有公交，很方便。北边有地铁，楼下有共享单车。东边大概1公里就是高架入口，出行还是很方便的,,,,,,
40,璞樾和山毛坯四房跃层 实用面积大 得房率很高看房方便,250万,17483,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,低楼层 (共18层),143㎡,跃层,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-05-21,商品房,2020-01-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房毛坯四房。位置好 居住舒适。小区环境优美。得房率高。,1、24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地下停车场,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,业主现急售房子，钥匙已经放我们店，看房方便 欢迎看房，随时恭候。有什么问题随时咨询我。,,,,,,,,
41,局小正衡旁！和山新上好房！大横厅！看房方便！,240万,18362,天宁区雕庄,新城招商·璞樾和山,3室2厅1厨2卫,低楼层 (共18层),130.71㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯两户,有,暂无数据,2022-12-06,商品房,2020-10-09,普通住宅,满两年,共有,无抵押,已上传房本照片,此房采用大横厅设计 靠运河视野好 有钥匙随时看房 诚心出售,24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,,
42,格局好，采光好，户型方正 ，明厨明卫、南北通风,170万,14167,天宁区雕庄,中海凤凰熙岸,3室2厅1厨2卫,低楼层 (共33层),120㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-04-27,商品房,2019-03-28,普通住宅,暂无数据,非共有,有抵押 60万元 客户偿还,已上传房本照片,小区环境好，物业管理好， 小区内有儿童娱乐场，小区停车位充足，电动车充电方便。,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,丽华大润发，凤凰公园，连锁酒店，蔷薇湿地公园，各大银行，各类小吃美食一应。,,,,,,022464020203,格局好，采光好，户型方正 ，明厨明卫、南北通风,,,
