,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,权属抵押,适宜人群,户型介绍,周边配套,售房详情,交通出行,房源核验码,查询房管备案记录,装修描述,别墅类型,用水类型,用电类型,燃气价格
31,雅居乐精装单身公寓带装修位置好,38万,6910,新北区三井,雅居乐星河湾,1室1厅1厨1卫,中楼层 (共29层),55㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,四梯二十四户,有,暂无数据,2021-11-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 10万元,未上传房本照片,公寓楼，精装修，品质酒店随时解约，满两年，地段楼层好,该楼建成于2015年，位于小区门口，地上地下免费停车位充足，总高29层4梯24户，可创业开公司和出租，自住。,,,,,小区门口自带中型生活chao市，烟酒店等，小区自带御景天品质酒店以及会所，包含体育馆，健身房，游泳池。小区东门有太湖综合市场和汇丰菜场。中国银行，中国工商银行，中国农业银行，中国邮政储蓄银行环伺其周，万达广场，丰臣国际广场也近在咫尺。,,小区楼下有共享单车，和两个公交站台，有公交有32路，32A路，46路，111路，213路，40路，可到达西林公交站台，江南商场，奔牛，火车站等，交通四通八达，小区南门口即是龙城大道以及龙江高架东西环城主干道，可通往常州各个区域。,,,,,,,
32,"嘉禾尚郡花园三房两卫,前排无遮挡，随时看房",160万,12664,新北区三井,嘉禾尚郡花园,3室2厅1厨2卫,低楼层 (共27层),126.35㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房楼层好，视野好，中间楼层业主诚心出售,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
33,五区婚装小三房，配套齐全生活便利,120万,12571,新北区三井,绿都万和城五区,3室2厅1厨1卫,低楼层 (共30层),95.46㎡,平层,76.26㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-30,商品房,2023-07-04,普通住宅,未满两年,共有,有抵押 95万元 交通银行 客户偿还,已上传房本照片,此房装修清爽，格局动静分离，小三房设计，采光可以,,,,适合新婚小夫妻带娃的三口之家，或者老人养老居住。生活便利交通发达，环境配套优越,配套成熟，医院商圈都便利，生活便利，两房朝南，一房朝北家具家电齐全,,,,,,装修维护比较新，拎包即住，家具家电都是品牌，色彩搭配清爽合理,,,,
34,新城府翰苑东区好房出售位置好户型方正采光好,165万,16805,新北区三井,新城府翰苑东区,2室2厅1厨1卫,高楼层 (共18层),98.19㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-09-16,商品房,2020-01-09,普通住宅,暂无数据,共有,有抵押 80万元,已上传房本照片,1，楼层低，配套齐全，有菜场，公园，不临街，靠医院近，适合有老人和孩子的家庭 2，首付不多，刚需的人群,,,,1，户型方正，格局分布合理，空间感好，通透性强，居住舒适 2，3南，楼层位置不影响采光， 3，2个卧室朝南，一卧室带大阳台，客厅南向带阳台显客厅宽敞 4，全屋主功能间都带有窗户，明厨明卫，更响亮。,"：
1，契税：90平方以下首套和二套房税率为1%；90平方以上首套房税率为1.5%，二套房税率为2%。三套以上房屋，税率都为3%。 2，税：产证满2年免征。 3，个税：产证满5年，且房东名下只有这套房可以免征。其他情况征收全额的1%。",,,,112493209271,新市府区万达商圈，新城府翰苑，装修采光好，交通便利,,,,,
35,新北吾悦旁 大名城西区  前排采光 中间楼层 看房方便,120万,14118,新北区三井,大名城西区,2室2厅1厨1卫,中楼层 (共31层),85㎡,平层,85㎡,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-06-16,商品房,2023-06-17,普通住宅,未满两年,共有,有抵押 50万元 40,已上传房本照片,大名城西区，远离高架，精装修中间楼层，装修未住 交通便利,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,,,,公园：飞龙体育公园，华山公园购物：吾悦广场（在建），新北万达，麦德龙，,,龙城大道高架，飞龙路，长江路，通江路等主干道，出行便利。高架通达全城,,,,,,,
36,金孔雀家装，入住2年，全天采光，可拎包入住,89万,13691,新北区三井,玉龙湾花园,2室1厅1厨1卫,高楼层 (共17层),65.01㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-04-20,商品房,2020-07-01,普通住宅,暂无数据,共有,有抵押 60万元 江苏,已上传房本照片,此房精装。入住2年，采光好 业主诚心出售,小区环境优美，与飞龙吾悦广场，飞龙公园，为社区居民提供了优美的生活环境。金玉苑社区有着完善的硬件设施，内设服务大厅、警务室、活动场所、便民服务点等,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,户型方正，格局分布合理，格局好，通透性强，居住舒适；南北朝向，视野开阔，采光透亮,,,,,,,,,,
37,诚心出售，看房方便，新上房源。,130万,13578,新北区三井,绿都万和城五区,3室2厅1厨1卫,中楼层 (共33层),95.75㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-11-10,商品房,2016-07-19,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,绿都万和城 小三房 精装自住 户型方正 采光好无遮挡,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税 ： 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,,,,小区门口有万和minimall，烟酒店等，耶鲁双语幼儿园，往东太湖路上有，农业银行，邮政银行，中国 银行，工商银行，三井医院，万达广场，府琛广场等,,小区出门200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利，门口天山路主干道向北1000米可 到万达商圈,,,,,,,
38,百草苑81平精装保养好   两房朝南 有钥匙,105万,12963,新北区三井,百草苑,2室2厅1厨1卫,低楼层 (共11层),81㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一 配套成熟，交通便利，居住舒适。,,目前在常州首房首贷首付3成，二贷首付6成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,恐龙园，迪诺水镇，世茂广场，百草园菜市场，出门即是市，菜市场，公交站等,,,,,,,,,
39,万达旁！泰山二村 精装修大3房 户型方正 南北通透！,116.8万,9196,新北区三井,泰山二村,3室1厅1厨2卫,高楼层 (共6层),127.02㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,无,暂无数据,2024-03-13,商品房,2024-02-28,普通住宅,未满两年,非共有,无抵押,已上传房本照片,户型方正.采光充足.交通便利.配套齐全。,,存量房需要缴纳个人所得税1%。契税若买方首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下1%，90㎡以上将收取2%。三套房不论面积大小契税 3%收取,,,,泰山二村小区北面就是泰山小 学，小区东边有太湖菜场，可以满足日常购物的需要。,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人.,,,,,,,,
40,中海龙城花园三期，第二排，自住装修硬装，诚心售,208万,19178,新北区三井,中海龙城花园,3室2厅1厨2卫,低楼层 (共26层),108.46㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-15,商品房,2017-08-24,普通住宅,满五年,共有,无抵押,已上传房本照片,中海龙城花园三期，第二排，自住装修硬装，诚心售,环境优美小区安静优雅绿化较好带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3生活便利:小区内有，合理分布便利，生活用品及买菜+分便利，生活轻松。,,,,2016年下半年交房的，户型三开间朝南双阳台设计，南北通风，房东自住硬装修,小区生活设施齐全、菜市场、银行、交通便捷2、小区内有健身器材，小型篮球场，可供小区居民使用:3、小区内停车位充足，建有地上停车场和地下车库;4、小区内24小时保安巡逻。,,,,,,,,,
41,吾悦旁 嘉禾尚郡 精装 采光刺眼 随时看房,115万,13527,新北区三井,嘉禾尚郡花园,2室2厅1厨1卫,高楼层 (共27层),85.02㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2024-02-27,商品房,2019-10-14,普通住宅,暂无数据,非共有,有抵押 83万元,已上传房本照片,此房视野宽阔 采光充足 诚心出售 装修现代风格 价格美丽小区..,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按.,,,,小区门口自带中型生活集市，烟酒店等，小区南边是耶鲁双语幼儿园和飞龙实验小 学和飞龙实验中 学，往东太湖路上有，农业银行，邮政银行，中国银行，工商银行，三井医院，万达广场，府琛广场等,,小区出门向南200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利，门口天山路主干道向北1000米可到万达商圈,,,,,,,
42,绿都万和城126平，新装3房2卫，方便看房，不靠高架,200万,15811,新北区三井,绿都万和城七区,3室2厅1厨2卫,中楼层 (共33层),126.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元 兴业银行,未上传房本照片,装修30几万，不靠高架，3房2卫，装修新，房东诚心卖,,,,,户型两个房间朝南，东西客厅餐厅，阳台景观视野好，景观佳，两个卫生间，也是当下主流的,,,,,,空调是东芝 地暖是阿里斯顿  家电当时买的是云米 ，全屋定制家具，装修保养的好,,,,
43,南博湾花园 精装三房两卫 看房方便,215万,15062,新北区三井,南博湾花园,3室2厅1厨2卫,中楼层 (共19层),142.75㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2024-02-25,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,精装修 大阳台 大落地窗 小区环境优美 位置好 采光,,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%，二套房90平米以上成交价的2%，三套及以上，3%。增值税：产证满2年免征，未满了两年5.6%。,,,,配套完善，生活设施齐全，银行购物方便，菜场商场餐饮近在咫尺，生活起居很方便，,,小区门口就是河海路公交站，向东500米可上高价，向西300米是河海地铁站。,,,,,,,
44,此房不靠高架，满五唯一，空置，看房方便,117万,13340,新北区三井,嘉禾尚郡花园,2室2厅1厨1卫,高楼层 (共32层),87.71㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-12-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房不靠高架，满五唯一，空置，看房方便,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,,小区门口自带中型生活市，烟酒店等，小区南边是耶鲁双语幼儿园和飞龙实验小 学和飞龙实验中 学，新北吾悦广场，往东太湖路上有，农业银行，邮政银行，中国银行，工商银行，三井医院，万达广场，府琛广场等,,交通出行： 小区出门向南200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利，门口天山路主干道向北1000米可到万达商圈,,,,,,,
