,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,税费解析,权属抵押,户型结构,建筑类型,梯户比例,配备电梯,小区介绍,周边配套,房源核验码,查询房管备案记录,装修描述,交通出行,适宜人群
34,此房为理财好房的不二选择。。。,36.8万,3413,金坛区西城街道,春风西路,2室1厅1厨1卫,低楼层 (共3层),107.85㎡,暂无数据,南,未知结构,其他,,暂无数据,2022-05-21,商品房,2015-12-18,普通住宅,满五年,共有,无抵押,已上传房本照片,此房子地理位置好，生活，出行都很方便的。,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。",平层,暂无数据,暂无数据,暂无数据,,xue'xiao，幼儿园，菜场，商店都有，而且特近，是个独立配套完善的房子，楼下就是公园，菜场和幼儿园,,,,,楼层不高，菜场，xue'xiao都近，楼下就是公园，老人孩子都方便合适。
35,"此房格局好,南北通风户型,全天采光,户型方正视野好",530万,23349,金坛区西城街道,雅居乐山湖城,5室3厅1厨5卫,低楼层 (共2层),227㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2021-06-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","：
首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",复式,暂无数据,暂无数据,暂无数据,,,,,,,
36,"此房格局好,南北通风户型,全天采光,户型方正视野好",26万,4263,金坛区西城街道,文化新村,2室1厅1厨1卫,高楼层 (共6层),61㎡,暂无数据,南,框架结构,精装,,暂无数据,2021-10-29,商品房,2012-11-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,目前在外地，有钥匙看房方便,",平层,板塔结合,暂无数据,暂无数据,房子的位置好，在市区，交通方便，停车方便，小区的南部有公园。商场。银行,,,,,,
37,文化一村3-2-1-1 126.00m²,62.5万,4961,金坛区西城街道,文化一村,3室2厅1厨1卫,高楼层 (共4层),126㎡,暂无数据,南,未知结构,简装,,暂无数据,2022-05-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,各位看房，随时随地都可以","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.6%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,暂无数据,暂无数据,暂无数据,,,,,,,
38,文昌花园4-2-1-2 157.09m² 100 万,92万,5857,金坛区西城街道,文昌花园,4室2厅1厨2卫,高楼层 (共5层),157.09㎡,暂无数据,南,未知结构,精装,,暂无数据,2021-08-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫，户型设计合理","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,,复式,暂无数据,暂无数据,暂无数据,,,,,,,
39,金溪新村 3室2厅 南,89.8万,6280,金坛区西城街道,金溪新村,3室2厅1厨1卫,中楼层 (共5层),143㎡,暂无数据,南,未知结构,精装,,暂无数据,2023-05-30,商品房,2023-06-11,普通住宅,未满两年,共有,无抵押,已上传房本照片,,,,,,平层,暂无数据,暂无数据,暂无数据,,,,,,,
40,文化新村私房     精装三层带院子  6-3-1-3 285.00m²,235万,8246,金坛区西城街道,文化新村,,低楼层 (共2层),285㎡,,南,,,,,2021-02-18,商品房,暂无数据,车库,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","独门独院  房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90
平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值
税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5
年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,,,,,,
41,"此房格局好,南北通风户型,全天采光,户型方正视野好",52万,5389,金坛区西城街道,城北小区,3室1厅1厨1卫,中楼层 (共5层),96.5㎡,暂无数据,南,砖混结构,精装,,暂无数据,2020-09-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,塔楼,暂无数据,暂无数据,,,,,,,
42,春风二村简装   3-2-1-1 118.90m²+12平小车库,79.7万,6704,金坛区西城街道,春风二村,3室2厅1厨1卫,高楼层 (共6层),118.9㎡,暂无数据,南,砖混结构,简装,,暂无数据,2021-02-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90
平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值
税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5
年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,塔楼,暂无数据,暂无数据,,,,,,,
43,"此房格局好,南北通风户型,全天采光,户型方正视野好",68万,5749,金坛区西城街道,丹阳门北路,3室2厅1厨1卫,中楼层 (共5层),118.3㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2021-03-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,暂无数据,暂无数据,暂无数据,,,,,,,
44,"：此房格局好,南北通风户型,全天采光,户型方正视野好",45.5万,5482,金坛区西城街道,文化新村,2室1厅1厨1卫,中楼层 (共5层),83㎡,暂无数据,南,未知结构,精装,,暂无数据,2020-09-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一房子户型好，全天采好,,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。","：
此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,暂无数据,暂无数据,暂无数据,,,,,,,
45,春风二村四室两厅一厨二卫，129平方开价95万,83.8万,6497,金坛区西城街道,春风二村,4室2厅1厨2卫,低楼层 (共5层),129㎡,暂无数据,南 北,砖混结构,简装,,暂无数据,2020-06-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,采光充足，户型方正，南北通透，一楼带院子，地段好，养老的..,"此房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%",,平层,塔楼,暂无数据,暂无数据,,,,,,,
46,出售房子户型好两个房间朝南 采光好 楼层好,89.8万,7301,金坛区西城街道,春风三村,3室2厅1厨1卫,高楼层 (共6层),123㎡,暂无数据,南 北,砖混结构,精装,,暂无数据,2022-04-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,出售房子户型好两个房间朝南 采光好 楼层好 房东诚心 出售,,房子三房两厅，业主现诚心出售，证件齐全，欢迎看房，随时恭候。,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5年成交价的1%,,平层,塔楼,暂无数据,暂无数据,,,,,,,本房是房东自己的房子 户型方正采光充足 适合一家子居住 3个房间都挺大的 房东房子保养很好
47,丹阳门中路三室一厅顶楼带阁楼诚心出,45.8万,6148,金坛区西城街道,丹阳门中路,3室1厅1厨1卫,高楼层 (共5层),74.5㎡,暂无数据,南,未知结构,简装,,暂无数据,2021-04-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,带有一个阁楼，房东诚心出售，房源真实 无抵押 ，看房提前预约,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",此房产权清晰，无抵押无贷款，房源真实，业主诚心出售，看房方便，过户全程陪同。,平层,暂无数据,暂无数据,暂无数据,,,,,,此房视野宽阔，配套设施齐全，交通便利。出行方便 房东诚心出售,
48,五星家园  两室  精华修 采光充足,66.8万,6748,金坛区西城街道,五星家园,2室2厅1厨1卫,中楼层 (共5层),99㎡,暂无数据,南,框架结构,精装,,暂无数据,2021-09-26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,卖点：此房子首付总价低  地理位置好，生活，出行都是很方便的,"房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","售房详情：业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,","税费解析：首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%",,平层,平房,暂无数据,暂无数据,,配套：房子的小区大门旁边有公共电助力车，小区大门旁边有公共车站。打滴滴也比较方便滴。,,,,,
49,",南北通风户型,全天采光,户型方正视野好",145万,11886,金坛区西城街道,虹亚亲亲家园,3室2厅1厨1卫,中楼层 (共14层),122㎡,暂无数据,南,未知结构,毛坯,,暂无数据,2020-12-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"：
此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,暂无数据,暂无数据,暂无数据,,,,,,,
50,精装三室，邻八佰伴，西门菜场，邻良常路,108万,7286,金坛区西城街道,五星家园,3室2厅1厨1卫,高楼层 (共4层),148.24㎡,暂无数据,西北,未知结构,精装,,暂无数据,2021-01-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视.",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.6%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,暂无数据,暂无数据,暂无数据,,,,,,,
