,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,周边配套,交通出行,户型介绍,装修描述,权属抵押,售房详情,税费解析,小区介绍,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格,别墅类型
34,都市雅居三房朝南，配套成熟，交通便利,150.8万,12239,新北区河海,都市雅居,3室1厅1厨2卫,低楼层 (共11层),123.22㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,一梯两户,有,暂无数据,2023-10-04,商品房,2000-01-01,普通住宅,满五年,共有,无抵押,已上传房本照片,1小区配套齐全2户型特点户型正3采光充足前面楼间距宽保证充分日照4小区有菜场银行生活方便,,存量房需要缴纳个人所得税1%。契税若买方首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下1%，90㎡以上将收取2%。三套房不论面积大小契税 3%收取,,,,,,,成熟社区，配套设施齐全，菜场，娱乐场所.公园等，适宜居住，让你步行满足一.,112430735595,小区环境优雅，配套成熟，交通便利，居住舒适。,,,,
35,嘉新花苑 简装两房 诚心出售 看房方便,53万,6247,新北区河海,嘉新花苑,2室2厅1厨1卫,高楼层 (共19层),84.85㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯六户,有,暂无数据,2023-10-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满五，地理位置佳，采光充足，配套实施齐全，交通便利。,,小区内有，合理分布便利店 ，生活用品及买菜十分便利，生活轻松。,公交车方向众多，离BRT车站、高铁都较近，外部道路宽阔，交通十分便利,,,,业主急卖，随时看房，业主随时可以签约，接受贷款，诚心出售。。。。。。,,,,,,,,
36,此房采光好，楼层好，视野开阔，采光充足，配套齐全,295万,15827,新北区河海,繁華里,4室2厅1厨3卫,中楼层 (共40层),186.4㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2024-02-23,商品房,2016-11-04,普通住宅,暂无数据,共有,有抵押 80万元 招商 客户偿还,已上传房本照片,龙城中，九龙仓繁华里 精致装修.景观房,,小区东在建大型菜场，北有世茂广场，各种生活配套完善，另有龙湖天街（在造）紧靠恐龙园（迪诺水镇）。南靠紫荆公园东经120金融圈。 卖点： 小区环境好 房子 好户型 好楼层.,,,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
37,九龙仓繁华里毛坯，急售，随时看房,175万,14384,新北区河海,繁華里,3室2厅1厨2卫,低楼层 (共33层),121.67㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-12-05,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 63万元 业主自还,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,首套房契税是1.5%，二套是2%，三套及以上是3%，不满二5.3增值税,,,,,,,
38,华亭苑环境优雅  配套成熟  居住舒适  房东诚心出售,175万,13939,新北区河海,华亭苑,3室1厅1厨2卫,中楼层 (共17层),125.55㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2024-02-20,商品房,2023-04-11,普通住宅,未满两年,非共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适房东,,公园很多，有新北公园，艺术公园，嘉顺花园，南公园花园，常州高铁生态公园。 还有很多广场，荣盛曼哈顿广场，万达广场，江南环球港。,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,小区绿化覆盖率高 森林氧吧 环境优美 居住人员素质高 安保得力，设施齐全。,,,,,,
39,小户型，总价低。好用公积金，有独立餐厅 卫生间,35万,8334,新北区河海,康郡,1室1厅1厨1卫,高楼层 (共6层),42㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,无,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小户型总价低好用公积金，有独立餐厅 卫生间,,旁边环球港、新北万达广场、 曼哈顿广场 公园 富都菜场、 各大银行 生活设施、吃喝玩乐齐全,,,简单装修 可拎包入住 基本家具家电都有 卫生间.厨房间装修齐,,,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上成交价的3%个税：产证满五唯一免收个税不唯一交成交价的1% 不满2年的并且不限售的 交易缴纳增值税",,,,,,,
40,急急急！怀德名园三连套，看单价，地铁口，看房有钥匙,134万,8537,新北区河海,常信怀德名园,3室3厅3厨3卫,中楼层 (共31层),156.98㎡,暂无数据,113.1㎡,板塔结合,北,钢混结构,简装,两梯十八户,有,暂无数据,2024-03-04,商品房,2010-02-21,普通住宅,满五年,共有,有抵押 50万元,已上传房本照片,小区地段好，地铁口，环境优美，配套成熟，交通便利，居住舒..,,,,,,此房产权清晰，有贷款，业主诚心出售，看房方便，过户全程陪同。,,"首套房90平米及以下成交价的1%,90平米以上成交价的1.5%,二套房90平米及以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年且唯一住房,免个税,否则征收成交价的1%",小区地段好，地铁口，环境优美，安静和谐，物业管理好，出行方便。,,,,,,
41,新名园中间楼层精装修保养好无抵押产权清晰随时过户,178万,18961,新北区河海,新名园,3室2厅1厨1卫,中楼层 (共27层),93.88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯八户,有,暂无数据,2023-10-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,本房位于恐龙园板块地段。人车分流，无户口，无抵押,,,交通便利。往东青洋高架，往西是龙城大道高架。200米左右还有地铁口,,精装修保养好，中间楼层，全天采光。全屋实木地板，品牌家电，户型好，随时看房，,,,,小区是恐龙园板块的一个次新小区，人车分流，有菜场，地铁，购物商场,,,,,,
42,天安花园 4室2厅 南,202万,12438,新北区河海,天安花园,4室2厅1厨2卫,低楼层 (共21层),162.41㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2023-11-02,商品房,2004-06-23,普通住宅,满五年,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,,
43,珠江花园位于地铁口，小区环境优雅,86万,9248,新北区河海,珠江花园,3室1厅1厨1卫,高楼层 (共7层),93㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-11-20,商品房,2018-12-14,普通住宅,暂无数据,共有,无抵押,已上传房本照片,珠江花园位于地铁口，小区环境优雅，配套成熟，交通便利,,"门口就是地铁，生活设施齐 ，农贸菜场, 商场, 饮食近在咫尺, 生活起居很方便。门口就是地铁",,,,,业主 之前自住房，使用空间大，现在诚意出售，产权清晰，有抵押，无纠纷。,小存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收,,,,,,,
44,公园旁吟枫苑，新装修二年 有露台 采光好诚心出售,228万,18240,新北区河海,吟枫苑东区,4室2厅1厨2卫,高楼层 (共15层),125㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2021-09-26,商品房,2018-04-24,普通住宅,暂无数据,共有,有抵押 35万元,已上传房本照片,户型方正.采光充足.交通便利.此房是复式的  刚装修二年,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
45,居住人群档次高 生活配套好 出行方便，价格实惠。,49.8万,10644,新北区河海,现代城,2室1厅1厨1卫,中楼层 (共12层),46.79㎡,复式,暂无数据,板塔结合,南,钢混结构,简装,四梯一百五十三户,有,暂无数据,2021-09-22,商品房,2020-03-20,商住两用,未满两年,共有,无抵押,已上传房本照片,居住人群档次高 生活配套好 出行方便，价格实惠。,本房适宜白领或创业者，可注册公司办理营业执照经营，居住人群层次比较高，能给您带来一个好的生活环境,,楼下200米就是地铁站 ，出行方便 距离公交车站500米，距离高架入口2500米，距离常州站5500米。交通便捷,户型简单，干净利好！装修好，房子楼层好，采光无影响产证清晰，放心房源,,,,,,,,商水,商电,2.45元/m3,
46,天润园大平层180平精装房毛坯价格空调地暖新风,348万,19410,新北区河海,天润园,4室2厅1厨3卫,低楼层 (共32层),179.29㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-09,商品房,2010-06-24,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"：
房东诚心卖房，价格都是可以谈的。中空调，地暖，新风",,"配套：
天润园小区北面是龙城小，学，汉江路步行街，距离恐龙园只有1公里（数据来源百度地图）",,,,"权属抵押：
此房没有贷款，无其他抵押和银行查封情况，产权清晰，随时可以签约。",,,天润园是人车分流小区，物业管理好，24小时安保，小区绿化环境好。,,,,,,
47,万达商圈，交通便利，可随时看房,136万,9039,新北区河海,河海二村,2室2厅1厨1卫,高楼层 (共6层),150.47㎡,复式,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,无,暂无数据,2021-06-29,商品房,2018-03-06,普通住宅,满五年,共有,无抵押,已上传房本照片,此房是顶楼复式房，业主自己住的装修，适合三代人住,,,,房子是顶楼复式，业主自己住的装修 客厅南北通，主卧朝南 次卧朝北 楼上楼下一样的户型 适合三代人住,,,业主是自己住的房子 业主需要自己换房子 所以诚意出售的，看房可以约,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,,,,,,
48,急售！怀德名园 三室两厅两卫，地铁口，东边户,228万,18570,新北区河海,常信怀德名园,3室2厅1厨2卫,中楼层 (共31层),122.78㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,两梯三户,有,暂无数据,2023-11-22,商品房,2009-04-21,普通住宅,满五年,非共有,有抵押,已上传房本照片,怀德名园小区环境优雅，配套成熟，交通便利，此房满五唯一,,小区自带幼儿园，东临龙城小，龙城中，北面菜场，汉江路美食街300米,地铁口1号线新区公园站200米，高速入口2公里，公交站牌500米,,,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区环境优美，位于新北区成熟地段，东南西北四个大门进出，小区里健身器材齐全，生活便利,,,,,,
49,洋房1楼带150平前后院子 198平 4房3卫 满五唯一免个税,520万,26256,新北区河海,九龙仓国宾1号,4室2厅1厨3卫,低楼层 (共7层),198.05㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2023-07-26,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 140万元,未上传房本照片,前院120平、后院30平、此房满五唯一、省1个点个人所得税,,紧靠恐龙园，迪诺水镇，龙湖天街也在小区东南侧1000米左右，距离地铁口1000米，小区自带商街。,,17年交房的次新房纯洋房小区最小面积195平高品质改善盘很纯粹这套是1楼带院没有地下室前后院前院120平后院20平客厅居中两边两个朝南的套房另外两个房间是朝北的,,,,此房满五唯一、增值税和个人所得税是免征的，只要交契税就好了、契税如果您是首套房：1.5%的契税、二套2%、第三套及以上都是3%的契税。,,,,,,,
50,天安花园精装小高层好房 房东诚意出售,270万,15026,新北区河海,天安花园,4室2厅1厨2卫,低楼层 (共9层),179.7㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-11-07,商品房,2006-01-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,地铁口 新区公园旁 天安花园舒适4房 诚意出售,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",有地上停车场和地下车库，小区保安内24巡逻，小区地理位置佳，绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用,,,,,,
