,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,售房详情,税费解析,房源核验码,查询房管备案记录,户型介绍,交通出行,小区介绍,周边配套,权属抵押,用水类型,用电类型,装修描述,别墅类型,燃气价格
31,毛坯房，户型方正，前面无遮挡。,155万,11921,新北区龙虎塘,九洲花园三期,3室2厅1厨2卫,低楼层 (共30层),130.03㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2021-02-24,商品房,2017-12-28,普通住宅,满五年,非共有,有抵押 30万元 客户偿还,已上传房本照片,降低成本，满二，毛坯房，有钥匙，看房随时；,,,1：契税首套房90平以下 1%，90平以上1.5%二套房90平以下1%，90平以上2%三套房不论面积统一3%++ 2：税：满两年不论面积 全免，不满二年 收全额的5.6% 3：个人所得税：满两年1%，满五年且出售方名下住房免个人所得税,,,,交通十分便利，门口有BRT公交站台，紧靠环球港地铁站，离常州北站近，沪蓉高速入口在小区后面,小区比较新2016年交付的 靠河 小区绿化好 出行便利 楼间距大 采光都很好 停车方便。,小区南边环球港 北面是五洲国际 幼儿园 距离小区近到 出小区就能看的见 出行便利 BRT 地T,,,,,,
32,花园洋房，精装修，拎包入住，随时看房,228万,15555,新北区龙虎塘,九洲花园北区,3室2厅1厨2卫,中楼层 (共4层),146.58㎡,平层,131㎡,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2023-09-10,商品房,2011-08-12,普通住宅,满五年,共有,无抵押,已上传房本照片,花园洋房，使用面积大，三个卧室朝南，精装修，配套齐全,,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，看房方便,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,,
33,精装修，三房朝南，东边户，得房率高，户型好。,105万,8293,新北区龙虎塘,盘龙苑东区,4室2厅1厨1卫,中楼层 (共6层),126.62㎡,平层,暂无数据,板塔结合,东 南 北,钢混结构,简装,暂无数据,无,暂无数据,2023-10-08,商品房,2019-12-26,普通住宅,暂无数据,共有,无抵押,已上传房本照片,精装修，三房朝南，东边户，得房率高，户型好。,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,全明户型，方正，三面采光，南北东，通风好。得房率高。业主诚心出售，看房方便有钥匙。,,,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,
34,环球港恐龙园楼层好 采光好 户型方正 有钥匙随时看房,150万,11344,新北区龙虎塘,美林湖花园,3室2厅1厨2卫,低楼层 (共22层),132.24㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2020-04-28,商品房,2018-09-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,楼层好 视野开阔 采光充足 配套实施齐全 交通便利 人车分流,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,"1、户型周正,格局分布合理,空间感好,通透性强,居住舒适;2、楼层佳,朝向 南北,视野开阔,采光透亮。3.毛坯交付装修简单方便，根据自己的风格装修",,
35,诚心！龙栖花园前排采光无遮挡出门商圈,108万,11901,新北区龙虎塘,龙栖花园,2室2厅1厨1卫,中楼层 (共17层),90.75㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-12,商品房,2019-11-16,普通住宅,满两年,共有,无抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,
36,环球港 三江口公园旁 盘龙苑西区 68平方 精装 67万,62万,9061,新北区龙虎塘,盘龙苑西区,2室2厅1厨1卫,中楼层 (共6层),68.43㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-20,商品房,2010-01-11,普通住宅,满五年,共有,有抵押 60万元 客户偿还,已上传房本照片,此房楼层好 户型好 业主诚售 随时可看,,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴,,,,,,,,,
37,自住精装  小高层  户型方正 视野开阔,156万,14173,新北区龙虎塘,锦珑湾花园,3室2厅1厨2卫,低楼层 (共19层),110.07㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-17,商品房,2021-01-20,普通住宅,满两年,共有,有抵押,已上传房本照片,小区中海物业 绿化高 房子小高层 楼间距大 精装修 看房方便,,,目前在常州首房首贷首付3成，二贷首付6成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,,,小区都是小高层，户型方正，三房二厅二卫，得房率高，价格实惠，刚需首先,,小区人车分流 绿化好 远看恐龙园全景 车位充足 采光刺眼无遮挡,,,,,,,
38,九洲花园南区 96平 精装3房 125万,125万,12990,新北区龙虎塘,九洲花园南区,3室2厅1厨1卫,中楼层 (共18层),96.23㎡,平层,79.04㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-11-16,商品房,2014-09-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,
39,道城三房两卫 精装 房东急卖 的一套房子满五唯一,143万,12420,新北区龙虎塘,道城商务广场,3室2厅1厨2卫,高楼层 (共20层),115.14㎡,平层,暂无数据,塔楼,南,框架结构,精装,两梯四户,有,暂无数据,2023-05-31,商品房,2015-07-01,普通住宅,满五年,共有,有抵押 客户偿还,已上传房本照片,道成广场住宅精装修，楼层好采光佳，配套齐全，价格实惠,,,"、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,,
40,龙虎塘版块，临环球港，视野采光好,95万,10207,新北区龙虎塘,盘龙苑西区,2室2厅1厨1卫,高楼层 (共6层),93.08㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-11-21,商品房,2018-01-01,普通住宅,满五年,非共有,有抵押,已上传房本照片,户型比较方正， 小区环境比较好 可拎包即住,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,户型方正，格局分布合理，空间感好，通透性强，居住舒适。朝向南北，视野开阔，采光透亮.小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好.小区地理位置优越，交通便捷.,小区电动车汽车都可出入，小区内路段宽敞，我们自己也经常骑车去小区溜达出行很方便，小区门口有共享单车，绿色出行，空闲时间和自己的好友约一场骑车运动也是蛮不错的。边上也有公交站台各个站点明确，方便老人出行，小朋友自主上学,,,,,,,,
41,户型周正格局分布合理空间感好通透性强居住舒适,131万,10481,新北区龙虎塘,祥龙苑,3室2厅1厨1卫,低楼层 (共15层),124.99㎡,平层,105.98㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-07,商品房,2012-05-09,普通住宅,满五年,共有,无抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,
42,锦珑湾业主  出售 满二 小区前排是景观河,718万,24934,新北区龙虎塘,锦珑湾花园,4室2厅1厨2卫,低楼层 (共3层),287.97㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2022-10-27,商品房,2021-05-29,别墅,暂无数据,非共有,有抵押 300万元 业主自还,已上传房本照片,房子毛坯房 视野开阔 配套设施齐全，出行便利,,,,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴,本小区生活方便，出小区300米到玲珑菜场跟信特卖场 龙虎塘 学 校 跟幼儿园出小区300米就能到 平常带孩子步行即可,小区门口有共享单车，出小区300米29路公交车，距离地铁1好线环球港站1000米,,,,,,联排,
43,九洲花园三期 精装修三房 好楼层 视野开阔,156万,12815,新北区龙虎塘,九洲花园三期,3室2厅1厨2卫,高楼层 (共33层),121.74㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-10-19,商品房,2018-05-04,普通住宅,满五年,非共有,有抵押,已上传房本照片,不靠高铁 边户通透 视野开阔 好楼层,,,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,,,,小区门口有共享单车，出小区200米B1路公交车，距离地铁1号线环球港站1000米,,本小区生活方便，出小区500米到玲珑菜场跟信特卖场 龙虎塘 学 校 跟幼儿园出小区300米就能到 平常带孩子步行即可,,,,,,
44,祥龙苑再显好房婚装大三房三开间朝南拥抱太阳值得拥有,128万,10241,新北区龙虎塘,祥龙苑,3室2厅1厨1卫,高楼层 (共15层),124.99㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-07-23,商品房,2016-06-07,普通住宅,满五年,共有,有抵押 客户偿还,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,
45,九洲精装2房带小露台 全天采光 看房方便,102万,11287,新北区龙虎塘,九洲花园南区,2室2厅1厨1卫,低楼层 (共27层),90.37㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2021-11-18,商品房,2018-02-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,此房三朝南精装修，带一个小露台，全天采光，配套齐全,,业主人很友好，诚心出售，成熟小区管理，证件齐全，随时签约，看房方便,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,,,
