,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,户型介绍,税费解析,适宜人群,周边配套,小区介绍,交通出行,装修描述,权属抵押,别墅类型,房源核验码,查询房管备案记录,用水类型,用电类型
32,高铁新城   滨江明珠城  精装三房   诚心出售,130万,10565,新北区小新桥,滨江明珠城,3室2厅1厨2卫,中楼层 (共22层),123.05㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-20,商品房,2015-12-24,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；,,：优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,,,
33,高铁新城 新龙花苑 楼层好 精装修 拎包可住 业主诚售,74万,12794,新北区小新桥,新龙花苑,2室1厅1厨1卫,中楼层 (共6层),57.84㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-05-06,商品房,2020-05-13,普通住宅,暂无数据,共有,有抵押 40万元 公积金 业主自还,已上传房本照片,小区分地上车位很地下车位，小区中间有一座写字楼腾龙苑街道办事处，提供住户生活上面的帮助。,,,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,小区自带腾龙苑菜市场、新龙花苑菜场，距离新桥华润万家800米，距离第四人民医院1.5公里，门口就有公交19路，有新桥小 学、龙虎塘小 学、新桥中 学、龙虎塘中 学等,,,,,112410056209,此房精装修 业主诚心出售 随时可看拎包可住,,
34,小新桥 新龙花苑 精装修 两房 房东 急售,90万,11054,新北区小新桥,新龙花苑东区,2室2厅1厨1卫,高楼层 (共6层),81.42㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-07-17,商品房,2017-04-10,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房户型方正，采光好，楼层好，随时可看,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,小区自带腾龙苑菜市场、新龙花苑菜场，距离新桥华润万家800米，距离第四人民医院1.5公里，门口就有公交19路，有新桥小 学、龙虎塘小 学、新桥中 学、龙虎塘中 学等,小区分地上车位很地下车位，小区中间有一座写字楼新桥街道办事处，提供住户生活上面的帮助。,,,,,,,,
35,清水湾 温馨之家 两房 看房方便 等候您来鉴赏,119.8万,14711,新北区小新桥,清水湾花园三期,2室2厅1厨2卫,中楼层 (共34层),81.44㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-06-02,商品房,2013-12-02,普通住宅,暂无数据,共有,有抵押 10万元 工商 客户偿还,已上传房本照片,价格包含车位！方正通透，大面宽，视野宽阔采光无遮挡，,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求，即买入住即享受。 论一位经纪人的自我修养，此房源值得推荐,,,,,,,,,,
36,2013年商品房，前后无遮挡，看房随时，房东给了钥匙！,100万,10841,新北区小新桥,清水湾花园三期,2室1厅1厨1卫,高楼层 (共27层),92.25㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-10-26,商品房,2018-06-27,普通住宅,暂无数据,共有,有抵押 业主自还,已上传房本照片,精致两房，全明设计，居住舒适，空间设计利用合理，随时可看！,亲和力爆棚的业主，房东两口子卖房是为了变现，诚心出售此房，看房需要提前联系，家人过来给开门，房价还可以商量。,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%。,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯商品房住宅，居住舒适环境优雅！,,,,,,,,,,
37,新龙花苑 房东诚心出售 楼层好 精装修,82万,10026,新北区小新桥,新龙花苑东区,2室2厅1厨1卫,中楼层 (共6层),81.79㎡,平层,73.42㎡,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-08-15,商品房,2012-02-27,普通住宅,暂无数据,共有,无抵押,已上传房本照片,半开放式厨房，明亮空间施展大厨艺；阔绰南阳台，拥有更多阳,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘，我是贝壳找房有屋腾龙苑店经纪人，房屋买卖交易问 题可以随时致电垂询。竭诚为您服务,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,对于正常架构家庭来讲，这个小区的优点就是有水系建设，管理较 好，安全，上台阶处都有扶杆，设计比较人性化，而且小区封闭，人车分流。,,,,,,,,,,
38,新龙花苑东区 楼层好 精装修 拎包可住 随时可看 诚售,90万,10844,新北区小新桥,新龙花苑东区,2室2厅1厨1卫,中楼层 (共6层),83㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-09-08,商品房,2018-12-21,普通住宅,暂无数据,非共有,有抵押 30万元 商业贷款 业主自还,已上传房本照片,此房精装修 可直接拎包入住  随时可看 业主诚售,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,小区自带腾龙苑菜市场、新龙花苑菜场，距离新桥华润万家800米，距离第四人民医院1.5公里，门口就有公交19路，有新桥小 学、龙虎塘小 学、新桥中 学、龙虎塘中 学等,小区分地上车位很地下车位，小区中间有一座写字楼腾龙苑街道办事处，提供住户生活上面的帮助,,,,,,,,
39,锦海星城 临环球港 繁华地段 户型方正 采光充足,115万,12576,新北区小新桥,锦海星城,2室2厅1厨1卫,中楼层 (共22层),91.45㎡,平层,72.57㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-04-27,商品房,2011-07-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,临环球港，繁华地段，户型方正，采光充足,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%,,配套齐全，有银行，菜场，医院，大型购物*市，游乐场所等等，近月星环球港，恐龙园，万达,,,,,,,,,
40,中高层两房，精装修满五年，诚心出售，房价可谈！,95万,11666,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,高楼层 (共34层),81.44㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-11-23,商品房,2012-10-30,普通住宅,暂无数据,共有,无抵押,已上传房本照片,精致两房，全明设计，居住舒适，空间设计利用合理，随时可看！,房东两口子卖房是为了变现，诚心出售此房，看房需要提前联系，目前房子出租出去了，租期还有一个月左右，看房租客同意，房价还可以商量。,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%。,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯商品房住宅，居住舒适环境优雅！,,,,,,,,,,
41,高铁新城 新景二期 精装修 两房 房东诚售,105万,12397,新北区小新桥,新景花苑二期,2室1厅1厨1卫,中楼层 (共18层),84.7㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-02-09,商品房,2021-03-03,普通住宅,暂无数据,共有,有抵押 85万元 江苏银行 客户偿还,已上传房本照片,南北通风、全方位景观，愉悦心情与每一位家人即时分 业主诚心,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求， 论一位经纪人的自我修养，此房源值得推荐,,,小区生活设施齐全 ，菜市场、银行、，交通便捷；BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,,,,,,,
42,高铁新城 新景花园二期 楼层好 户型好采光好业主诚售,115万,13711,新北区小新桥,新景花苑二期,2室2厅1厨1卫,中楼层 (共11层),83.88㎡,平层,65㎡,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-12-18,商品房,2019-02-21,普通住宅,暂无数据,共有,有抵押 54万元 商业银行 客户偿还,已上传房本照片,此房楼层好 南北通风效果好 视野开阔 业主诚售,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。。论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,,,
43,满五年毛坯三房，明厨明卫，变现急售，看房随时！,155万,12221,新北区小新桥,清水湾花园三期,3室2厅1厨2卫,中楼层 (共34层),126.84㎡,平层,暂无数据,板塔结合,东 南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2022-04-04,商品房,2012-10-29,普通住宅,暂无数据,非共有,有抵押 20万元 业主自还,已上传房本照片,满五年商品房，中高楼层，视野开阔，采光充足，交通便利。,,方正通透，户型正气，两间大卧室朝南，一间小卧室朝北，客厅朝东，房子视野宽阔，采光无遮挡，配套设施齐全。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,小区建成年代2012年，占地面积220000 ㎡，建筑面积450000 ㎡，小区共有13栋楼，新城的物业，小区环境优美，配套成熟，交通便利，居住舒适。人文素养好，乐于助人，相处和谐。,,,,,,,,
