,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,税费解析,交通出行,户型介绍,房源核验码,查询房管备案记录,适宜人群,装修描述,周边配套,小区介绍,权属抵押,用水类型,用电类型,燃气价格,别墅类型
31,楼层好，视野开阔，采光充足，配套设施齐全，交通便利,189万,17444,新北区新桥,绿地名敦道,3室2厅1厨2卫,中楼层 (共27层),108.35㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-02,商品房,2019-10-22,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,楼层好，视野开阔，采光充足，配套设施齐全，交通便利,随时可以看房，业主可以随时签约的，这个房子就是改善类型的，可以带老人孩子一起过来居住,,,,,,楼层好，有菜市场，公园，带电体，不临街，距离医院近。方便老人过来居住,,,楼层好，无遮挡，采光好，适合老人小孩一起居住。房龄新，环境好,,,,,
32,楼层好，视野开阔，采光充足，配套设施齐全，交通便利,203万,17376,新北区新桥,绿地名敦道,3室2厅1厨2卫,中楼层 (共27层),116.83㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-02,商品房,2019-10-22,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,楼层好，视野开阔，采光充足，配套设施齐全，交通便利,随时可以看房，业主可以随时签约的，这个房子就是改善类型的，可以带老人孩子一起过来居住,,,,,,楼层好，无遮挡，采光好，适合老人小孩一起居住。房龄新，环境好,,,楼层好，有菜市场，公园，带电体，不临街，距离医院近。方便老人过来居住,,,,,
33,高铁新城板块采光好无遮挡  视野好 方便看房,260万,20583,新北区新桥,弘阳上坤云峯,3室2厅1厨2卫,高楼层 (共33层),126.32㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-11,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 150万元,未上传房本照片,房楼层好 视野好 无遮挡  户型好 密码钥匙 随时可看,亲和力爆棚的业主，房东不在常州诚心出售，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,存量房需要缴纳个人所得税1%。契税若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。不满两年需缴纳5.3%增值税,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透 没有浪费面积 功能实用,,,,,,,,,,,
34,腾龙苑东区交通便利 设施配套齐全,120万,9231,新北区新桥,腾龙苑东区,3室2厅1厨2卫,中楼层 (共5层),130㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-07-10,商品房,2020-06-09,普通住宅,暂无数据,共有,有抵押 80万元,已上传房本照片,此房通透明亮，格局好，房间采光无遮挡,,契税：首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1,公交地铁一应俱全 B13 近临地铁 高铁长江北路 通江中路出行很方便,,,,,,常州市新桥、北郊，常高技，旅游贸易学院商场，乐购，新桥医院 ， 第四人民医院，邮局，中国邮政银行，中国农业银行，江南农村银行,,,,,,
35,腾龙苑168平 五个房间 四开间朝南 双阳台 精装修,158万,9373,新北区新桥,腾龙苑东区,5室2厅1厨2卫,中楼层 (共5层),168.57㎡,平层,168.57㎡,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2022-11-07,商品房,2020-01-08,普通住宅,暂无数据,共有,有抵押,已上传房本照片,楼层好 全天采光  四开间朝南大户型  总共 5个房间  市面少的好房源  得房率 高,常州四院1公里   三井医院 4公里  龙虎塘医院 1公里  出门方便,,,业主自住  装修2年多   保养可以   考虑置换   看房方便,112418566343,南北双阳台   四开间朝南 一共5个大房间  市面漂亮户型,,,,,,,,,
36,地铁口 壹号天禧 精装修 三房 房东诚售,165万,14145,新北区新桥,碧桂园壹号天禧,3室2厅1厨2卫,低楼层 (共20层),116.65㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-07,商品房,2021-05-07,普通住宅,暂无数据,共有,有抵押,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
37,壹号天禧 精装三房 楼层佳 采光无遮挡 拎包入住,150万,15775,新北区新桥,碧桂园壹号天禧,3室2厅1厨1卫,中楼层 (共20层),95.09㎡,平层,72.82㎡,板塔结合,南 北,钢混结构,精装,三梯六户,有,暂无数据,2022-06-15,商品房,2021-01-26,普通住宅,暂无数据,共有,有抵押 66万元 工行银行 业主自还,已上传房本照片,此房精装三房 高楼层 视野开阔 小区环境好,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、满五年唯一免个税1%,地铁一号线北郊站出门即达，公交BRT一应俱全 辽河路、华山路、长江路沪宁高速通达全城，高铁北站等交通工具。,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,该房装修细致入微，业主家碧桂园统一交付精装。品牌家装建材、家具家电、卫浴、地板无不亲力亲为建选材，监工。,,,,,,,
38,地铁口 腾龙苑西区 大三房  满五唯一 房东 诚售,105万,9456,新北区新桥,腾龙苑西区,3室2厅1厨1卫,中楼层 (共11层),111.05㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,暂无数据,2022-12-25,商品房,2008-09-03,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,满五唯一 北郊旁，地铁口小区，交通便利，楼层好,业主诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘,,小区电动车汽车都可出入，小区内路段宽敞，我们自己也经常骑车去小区溜达出行很方便，小区门口有共享单车，地铁绿色出行，空闲时间和自己的好友约一场骑车运动也是蛮不错的。边上也有公交站台各个站点明确，方便老人出行，小朋友自主上学。,,,,,,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；,,,,,
39,凤凰名城109平小高层中间楼层三室 地铁口交通便利,126万,11460,新北区新桥,凤凰名城,3室2厅1厨1卫,中楼层 (共11层),109.95㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯两户,有,暂无数据,2023-06-26,商品房,2017-06-16,普通住宅,满五年,共有,无抵押,已上传房本照片,地铁口、BRT快速路口，交通便利诚心出售！,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税 ： 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,小区门口就是BRT快速公交站台，地铁1号线口。2公里范围内有常州高铁出行北站，交通便利。,,,,,,,小区为成熟小区，生活配套齐全，交通便利。小区内有健身活动设施。,,,,,
40,金科保利北郡前排大四房 高铁新城 出门就是地铁一号线,265万,18775,新北区新桥,金科·保利北郡花园,4室2厅1厨2卫,中楼层 (共18层),141.15㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2023-09-04,商品房,2020-10-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区环境优美，绿化面积覆盖高，干净整洁，物业服务态度好,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,"1、90平以内首套房契税1%，二套房1%，三套或以上3%            
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
3、不满两年增值税5.3%，满两年免增值税
4、满五年唯一免个税1%","1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 
2、小区内有健身器材，小型篮球场，可供小区居民使用；
3、小区内停车位充足，建有地上停车场和地下车库；
4、小区内24小时保安巡逻。",,,,,,,,,,,,
41,高铁新城，全明户型，视野宽阔 采光充足 交通便利,102万,9665,新北区新桥,腾龙苑西区,3室1厅1厨2卫,高楼层 (共11层),105.54㎡,复式,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-17,商品房,2018-04-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,高铁新城，全明户型，视野宽阔 采光充足 交通便利,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,"存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购
房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。",,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
42,高铁新城 保利北郡 精装修 三房 房东诚售,240万,20651,新北区新桥,金科·保利北郡花园,3室2厅1厨2卫,低楼层 (共27层),116.22㎡,平层,暂无数据,板塔结合,南,砖混结构,精装,两梯四户,有,暂无数据,2023-06-24,商品房,2020-08-21,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型方正，视野开阔，采光充足，交通便利，出入方便,小区环境优雅交通便利，品牌物业，小区植被众多，公园式住宅，小区设施完善。此房屋方形方正，南北阳台，朝南大阳台，每个卧室和客厅都很大，没有浪费空间，房子设计的堪称 ，中间楼层。,1. 税：此房已经满两年，因此省掉5.3%的税，很是划算。 2.契税：买房所缴纳的契税，首套房面积小于等于90平方，1%契税，大于90平米，1.5%契税。 二套房面积小于等于90平方，1%契税，大于90平米，2%契税。三套及以上契税3%。 3.个税：买房需要承担的个税1%。,,,,,房东工作调动，诚心出售，欢迎看房，价格合理公道，房东承诺绝不跟风涨价，诚信之人。努力寻找有缘人！,,,,,,,,
43,金科保利北郡 高铁新城近地铁 随时可看房,219万,18846,新北区新桥,金科·保利北郡花园,3室2厅1厨2卫,中楼层 (共27层),116.21㎡,平层,100㎡,板塔结合,南 北,未知结构,精装,两梯四户,有,暂无数据,2023-02-18,商品房,2020-11-06,普通住宅,暂无数据,共有,有抵押 100万元 建设银行 金融公司垫资,已上传房本照片,满二，户型方正通风采光好，小区环境优美，交通便利,"售房原因：业主工作地在上海，已搬往上海居住
房屋现状：随时可看房 业主随时可签约",,,,,,"孕婴老幼：小区环境优美 人车分流 居住舒适度高
出差人群：小区近常州北站 距离高速、高架1公里  出行十分便利
品质住所：高铁新城城市建面好，新龙湖音乐公园、湿地公园等自然资源众多，近常工院、旅游商贸学院，人文气息浓郁","装修现状：精装修交付，交付标准高。业主有自购冰箱、洗衣机、床柜等，拎包即可入住
房屋状态：房屋仅短住，基本全新，展示面好",,,,,,,
44,清水湾珍贵精装全屋真皮家具全实木地板,119.8万,13911,新北区新桥,清水湾花园一期,2室2厅1厨1卫,低楼层 (共32层),86.12㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-12-12,商品房,2017-03-31,普通住宅,暂无数据,非共有,有抵押 10万元 工商银行 业主自还,已上传房本照片,视野宽阔，装修体现细节，全屋实木地板,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,地铁1号线北郊站，新桥大街，新龙湖公园，常州高铁北站，高架，高速，辽河路，BRT站台,,,,,该房装修细致入微，业主当时每一处都是细节处理，地板是全实木并且能散发清香，品牌家装建材、家具家电、卫浴、地板无不亲力亲， 为建选材，监工。即买即享受省心、省力、省时,,,,,,,
45,急售凤凰名城精装修满五唯一双阳台交通便利有钥匙看房,115万,13079,新北区新桥,凤凰名城,2室2厅1厨1卫,高楼层 (共30层),87.93㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯三户,有,暂无数据,2022-09-28,商品房,2018-08-03,普通住宅,暂无数据,非共有,有抵押 60万元 中国银行 业主自还,已上传房本照片,方正通透，户型正气，视野宽阔采光无遮挡，配套设施齐全,,,小区电动车汽车都可出入，小区内路段宽敞，我们自己也经常骑车去小区溜达出行很 方便，小区门口有共享单车，绿色出行，空闲时间和自己的好友约一场骑车运动也是 蛮不错的。边上也有公交站台各个站点明确，门口100米就是地铁口，方便出行,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴,,,小区环境优美，绿化面积覆盖高，内有健身器材和娱乐广场，居民素质高，物业服务态度好。配套成熟，交通便利，居住舒适。人文素养好，乐于助人，相处和谐,,,,,
