,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,户型介绍,别墅类型,售房详情,适宜人群,装修描述,权属抵押,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
30,橄榄城 不靠高架 精装复式两层  房东诚心 看房方便,190万,9682,新北区薛家,橄榄城,5室3厅1厨2卫,高楼层 (共11层),196.26㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,,"1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 
2、小区内有健身器材，小型篮球场，可供小区居民使用；
3、小区内停车位充足，建有地上停车场和地下车库；
4、小区内24小时保安巡逻。","1、90平以内首套房契税1%，二套房1%，三套或以上3%            
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
3、不满两年增值税5.3%，满两年免增值税
4、满五年唯一免个税1%",,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,,,,,,,
31,新北 薛家 必看3室好房  理想的采光 楼层 装修 价格,126万,12685,新北区薛家,九龙仓年华里 ,3室2厅1厨1卫,高楼层 (共18层),99.33㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-07-30,商品房,2015-12-25,普通住宅,暂无数据,共有,有抵押 业主自还,已上传房本照片,年华里  2房朝南，户型周正，格局分布合理，空间感好，通透性强,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%（此房满五唯一免交个税）,,,,,,,1、小区边生活设施齐全，菜市场、银行、交通便捷； 2、小区内有健身器材，棋牌室，活动室，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。封闭管理，智能人脸识别系统,房主精心装修 一直自住 保持好 品牌家具 家电 环保材质 放心入住,,,,,,
32,此房不靠高架，采光好，自带幼儿园。,180万,16320,新北区薛家,白马公馆,3室2厅1厨2卫,高楼层 (共34层),110.3㎡,平层,暂无数据,板塔结合,东南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-02-08,商品房,2020-01-02,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此房不靠高架，采光好位置佳，生活便利，交通方便,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,小区楼下有共享单车，公交车，小区南边是龙城高架，往东南方向可到南大街，火车站，向西到奔牛机场，向北到常州高铁北站，和薛家沪蓉高速出入口，龙虎塘沪蓉高速出入口,白马公馆为绿洲置业又一品牌升级力作，位于飞龙版块地处新北区龙城大道以北，太湖西路与昆仑路交汇处。总建筑面积约34万方，由16栋高层及沿街商铺组成。88-140㎡创梦空间，满足不同人群的共同梦想居所,,,,,,,,,,,
33,新城悠活城 刚需头选 三房 低总价,92万,12284,新北区薛家,新城•悠活城,3室1厅1厨1卫,高楼层 (共34层),74.9㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯五户,有,暂无数据,2022-09-09,商品房,2021-01-17,普通住宅,暂无数据,非共有,有抵押 60万元,已上传房本照片,此处房子位于前排，通风采光效果都好。房东诚售，价格可谈。,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,小区门口有公交车，校车，高架，出门很方便，过高架有minimall商场，今年还动工飞龙吾悦，购物很方便。,,户型方正，主卧客厅都朝南，格局分布合理，空间感好；中上楼层，视野开阔，采光透亮；小区环境优美，绿化面积覆盖率高，干净整洁，内有健身器材和娱乐广场，物业服务好。,,,,,,,,,,
34,万科君望甲第 精装三房两厅两卫 房东诚心 拎包入住,162万,13997,新北区薛家,万科·弘阳君望甲第,3室2厅1厨2卫,低楼层 (共20层),115.74㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-10-12,商品房,2020-09-27,普通住宅,暂无数据,共有,有抵押,已上传房本照片,人一辈子总要住一次万科，全国四强物业，万科物业欢迎您的到..,"1、90平以内首套房契税1%，二套房1%，三套或以上3%            
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
3、不满两年增值税5.6%，满两年免增值税
4、满五年唯一免个税1%","1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；
2、小区内有健身器材，小型篮球场，可供小区居民使用；
3、小区内停车位充足，建有地上停车场和地下车库；
4、小区内24小时保安巡逻。
本人从事房地产多年，公司有大量好房源，欢迎随时电话咨询。",,"小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；
4、小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利",,,业主处理多余房产 诚意出售，手续齐全，价格公道，看房方便，随时恭候,,,,,,,,
35,凤凰湖壹号单价1.1纯毛坯大平层一梯一户有钥匙看房,255万,11021,新北区薛家,佳兆业凤凰湖壹号,4室2厅1厨2卫,高楼层 (共27层),231.39㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2022-10-01,商品房,2017-07-05,普通住宅,暂无数据,共有,有抵押 100万元,已上传房本照片,此房纯毛坯，有钥匙看房，四房两卫户型，有钥匙看房,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
36,飞龙版块近，小区环境优雅，绿化好，居住舒适,120万,12766,新北区薛家,白马公馆,2室2厅1厨1卫,高楼层 (共34层),94㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-01-01,商品房,2019-11-21,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,飞龙版块近，小区环境优雅，绿化好，居住舒适,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,小区南边是耶鲁双语幼儿园和飞龙实验小 学和飞龙实验中 学，往东太湖路上有，农业银行，邮政银行，中国银行，工商银行，三井医院，万达广场，府琛广场等,小区出门向南200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利，门口天山路主干道向北1000米可到万达商圈,,,,,,,,,,,,
37,聚怡花园精装两房 诚心出售 看房可约,100万,13569,新北区薛家,聚怡花园南区,2室1厅1厨1卫,中楼层 (共16层),73.7㎡,平层,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-11,商品房,2020-12-25,普通住宅,满两年,共有,有抵押 78万元 农业,已上传房本照片,小区地理位置优越，交通便捷，生活便利,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
38,聚怡花园 简装两室 诚心出售 看房方便,93.8万,10828,新北区薛家,聚怡花园南区,2室1厅1厨1卫,低楼层 (共18层),86.63㎡,平层,暂无数据,塔楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-10-29,商品房,2017-09-01,普通住宅,暂无数据,非共有,有抵押 52万元 江南银行,已上传房本照片,小区地理位置优越，交通便捷，生活便利 目前空置看房方便,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
39,怡枫苑精装两房中间楼层满五省税业主诚心出售,83万,10450,新北区薛家,怡枫苑,2室2厅1厨1卫,低楼层 (共30层),79.43㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-09,商品房,2018-06-05,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房满五唯一省税，中间楼层，视野好，目前出租中看房方便,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
40,此房为精装修，户型方正，通风好，稀有三朝南,147万,13201,新北区薛家,白马公馆,3室1厅1厨2卫,高楼层 (共34层),111.36㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-08-30,商品房,2020-05-16,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此房为精装修，户型方正，通风好，稀有三朝南,,,小区楼下马路旁有公交，南面有龙城大道和龙城大道高架，向东可到新北区天宁区和经开区，向南到钟楼区和武进区，向西到奔牛机场，向北到薛家和沪蓉高速出入口,白马公馆为绿洲置业又一品牌升级力作，位于飞龙版块地处新北区龙城大道以北，太湖西路与昆仑路交汇处。总建筑面积约34万方，由16栋高层、 会所及沿街组成。88-140㎡创梦空间，满足不同人群的共同梦想居所。高架贯通轻松链接五大区，小区的会所,户型三开间朝南，南北通风，格局方正，全明设计，厨卫通风良好，2梯4户，居住怡人,,,,,,,,,,
41,聚怡花园，毛坯四房，业主诚心出售 随时看房,155万,11494,新北区薛家,聚怡花园南区,4室2厅1厨2卫,低楼层 (共17层),134.86㎡,平层,109.47㎡,塔楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-05-12,商品房,2012-11-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
