,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,税费解析,周边配套,房源核验码,查询房管备案记录,小区介绍,适宜人群,权属抵押,装修描述,交通出行,别墅类型,用水类型,用电类型,燃气价格
33,书香苑 6层高标准洋房中间楼层 框架结构 可塑性高,106.8万,8517,金坛区东城街道,书香苑,3室2厅1厨1卫,低楼层 (共6层),125.4㎡,平层,暂无数据,板塔结合,南,框架结构,精装,两梯两户,有,暂无数据,2023-11-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"户型方正,视野宽阔,采光充足,配套设施齐全,交通便利","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5年征1%,小区地理位置好 西边一中，前面五中 门口就是小吃一条街 峨眉菜场 幼儿园 配套齐全,,,,,,,,,,,
34,别墅群东边金湖花园 西边户 采光无遮挡 3室,65.8万,5875,金坛区东城街道,金湖花园,3室2厅1厨1卫,高楼层 (共6层),112㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,全天采光,户型方正 视野好，边户 采光豪无遮挡",,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免,,,,小区环境，绿化好，小区内设施齐全，老人活动设施和小孩嬉戏滑滑梯,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
35,金谷华城金禧园 电梯7楼 3室 72.8万含12平小车库,72.8万,7138,金坛区东城街道,金禧园(金坛市),3室1厅1厨1卫,高楼层 (共9层),102㎡,平层,暂无数据,板塔结合,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2023-11-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房南北通风 楼层好 采光充足 配套设施齐全交通便利,,现在业主诚心出售房子，金坛本地人，证件齐全，我们有钥匙看房方便，看中随时可签！,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",距离公立初中几百米，旁边有大型生鲜市场，车站，酒店交通出行生活很便利,,,,,,,,,,,
36,小香港多层复式 精装六室 两厨三卫,91.8万,7508,金坛区东城街道,金江苑一村,6室2厅2厨3卫,高楼层 (共5层),122.27㎡,复式,暂无数据,板塔结合,东南,钢混结构,精装,暂无数据,无,暂无数据,2023-11-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,满五唯一。区域成熟，采光好，户型方正,"面积大，六室三卫，户型正，新装修，配套成熟
采光方正，有独立分电表",,"税费解析：首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,1.该小区入住率高，一村分1区2区3区4区D区。2.该小区年数虽微长，但配套设施完善。3.该小区教育完善4.该小区有个供金江苑几个小区大型的农贸市场。,,,,,,,,
37,"此房格局好,南北通风户型,全天采光,户型方正视野好",63.8万,7275,金坛区东城街道,华苑二村B区,2室2厅1厨1卫,高楼层 (共5层),87.7㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-04-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","此房格局好,南北通风户型,全天采光,户型方正视野好，明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
38,景潭花园顶楼复式 家里保养很好 有车库8平,109.8万,5157,金坛区东城街道,景潭花园,5室2厅1厨3卫,高楼层 (共6层),212.94㎡,复式,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-01,商品房,2012-07-19,普通住宅,满五年,共有,无抵押,已上传房本照片,"业主人很友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,..",,,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5念成交价的1%,,,,小区环境各方面还是不错的，交通便利，配套齐全。出行便利，小区环境好，绿化高，花草树木一应俱全，空气新鲜,房适合年轻人居住，房子采光好，不临街，社区生活方便，邻里和睦小区内配套齐全，有大型菜市场，公园，医院，出门即是公交站，出行方便！管理以及卫生情况都不错，近小区里有购物点，周末早上小区门口有卖菜的早市，生活便利！,,,,,,,
39,中景尚海城，5室2厅1厨2卫，171平,228万,13302,金坛区东城街道,中景·尚海城,5室2厅1厨2卫,中楼层 (共20层),171.41㎡,复式,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-11-06,商品房,2023-05-25,普通住宅,未满两年,非共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈",,,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
40,钱塘映象 14楼 精装修 3室 几乎没住过,158.8万,14958,金坛区东城街道,钱塘映象花园,3室2厅1厨1卫,中楼层 (共27层),106.17㎡,平层,暂无数据,暂无数据,南,框架结构,精装,一梯四户,有,暂无数据,2023-10-31,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,,,,,,,
41,中景·尚海城3-2-1-2 114.00m² 166 万,164.8万,14457,金坛区东城街道,中景·尚海城,3室2厅1厨2卫,中楼层 (共20层),114㎡,平层,暂无数据,板塔结合,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2023-07-05,商品房,2021-10-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下1%,90平米以上1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年评估价的1%。",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
42,东城宜景苑3-1-1-2 138.30m² 116 万,99.8万,7212,金坛区东城街道,东城宜景苑,3室2厅1厨2卫,中楼层 (共18层),138.39㎡,平层,暂无数据,板塔结合,南,框架结构,精装,两梯四户,有,暂无数据,2023-04-15,商品房,2010-01-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"：
此房格局好,南北通风户型,全天采光,户型方正视野好，满五唯一","：
房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,,,,,,,,,,,,
43,华城二村，三室两厅经典户型带小车库诚意出售啦,59.8万,6405,金坛区东城街道,华城二村,3室2厅1厨1卫,中楼层 (共5层),93.37㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-07-27,商品房,2001-07-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房满五年，户型南北通透，户型方正，带一个小车库，纯4楼,,此房产权清晰，全款房，房东打算置换房屋，诚心出售，看中价格可谈，过户全程陪同,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5年成交价的1%,,,,小区刚改造过，环境不错，交通便利，配套齐全。出行便利，小区环境好，绿化高，花草树木一应俱全，空气新鲜,,,,,,,,
44,金玉华府 3室2厅 南 北,159.8万,8350,金坛区东城街道,金玉华府,3室2厅1厨2卫,高楼层 (共26层),191.38㎡,复式,暂无数据,塔楼,南 北,框架结构,毛坯,两梯三户,有,暂无数据,2023-03-01,商品房,2020-08-14,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,,,,,,,,,,,,,,,,
45,吾悦广场旁边中梁壹号独门别墅有密码可以随时看房,370万,16729,金坛区东城街道,中梁金坛壹号院,4室4厅3厨3卫,低楼层 (共3层),221.18㎡,复式,暂无数据,板楼,南,框架结构,毛坯,三梯六户,有,暂无数据,2021-11-20,商品房,2021-01-28,普通住宅,暂无数据,共有,有抵押 业主自还,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
46,四季雅苑4区3-2-1-1 93.00m² 96.8 万,85.8万,9226,金坛区东城街道,四季雅苑4区,3室2厅1厨1卫,中楼层 (共27层),93㎡,平层,暂无数据,暂无数据,南,未知结构,精装,一梯六户,有,暂无数据,2023-08-03,商品房,2021-07-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,唯一房源满两全天采光户型方正视野好房格局好,,业主长期在外地上班，不回金坛，所以打算把房子给卖掉，看中价格可谈,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5年成交价的1%,,,,小区环境各方面还是不错的，交通便利，配套齐全。出行便利，小区环境好，绿化高，花草树木一应俱全，空气新鲜。,,,,,,,,
47,金郡花园二区 电梯中层 四室两卫 房型方正 采光好,166.6万,12123,金坛区东城街道,金郡花园2区,4室2厅1厨2卫,低楼层 (共27层),137.43㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-07,商品房,2021-08-30,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"此房格局好,楼层好 南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","房东现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,可以跟房东商量",契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免,,,,,,,,,,,,
48,愚池公寓旁 愚池新村三室 小区已改造环境好,42.8万,4892,金坛区东城街道,愚池新村,3室2厅1厨1卫,高楼层 (共5层),87.5㎡,平层,暂无数据,塔楼,南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2023-09-20,商品房,2009-12-24,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"此房格局好,通透户型,全天采光,户型方正视野好。",,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，商场， 美食等 人文素养好,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。",,,,,,
49,西下塘房子装修保养好  一大家子住着舒适,212.8万,10748,金坛区东城街道,西下塘别墅,6室2厅1厨2卫,低楼层 (共2层),198㎡,,暂无数据,,南,未知结构,精装,,,暂无数据,2022-04-07,商品房,2022-12-01,别墅,未满两年,非共有,无抵押,已上传房本照片,此房子地理位置好，带大院子， 房东随时签约,"格局好,南北通风户型,全天采光,户型方正视野好,适合老人小孩居住",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,产权清晰，无抵押，房源真实，业主诚心出售，看房方便，过户全程陪同,,,暂无数据,,,
